ib_code,name,address,district,state,pincode,pincode_source,programmes,ib_since,school_type,boarding,gender,teaching_languages,website,source_url,captured_on
051326,DPS International,"A Unit of Champa Devi Jaipuria Charitable Trust, HS-01, Block- W, South City-II, Sector-50, Golf Course Extension Road, Gurgaon, Haryana",GURUGRAM,HARYANA,122001,board,DIPLOMA / IBCC / MYP / PYP,10 June 2016,PRIVATE,Day,Coeducational,English,https://www.dpsiedge.edu.in,https://www.ibo.org/en/school/051326,2026-08-25
051370,Bunts Sanghas S M Shetty Intl School and Junior College,"Hiranandani Gardens, Powai, Mumbai, Maharashtra",MUMBAI SUBURBAN,MAHARASHTRA,400076,board,DIPLOMA,20 April 2016,PRIVATE,Day,Coeducational,English,https://www.smshettyinstitute.org,https://www.ibo.org/en/school/051370,2026-08-25
051457,Strawberry Fields High School,"Sector 26, Chandigarh, Union Territory",CHANDIGARH,CHANDIGARH,160019,board,DIPLOMA / PYP,21 October 2016,PRIVATE,Day,Coeducational,English,https://www.strawberryfieldshighschool.com,https://www.ibo.org/en/school/051457,2026-08-25
051564,Gateway International School,"Jebakadal Street, Kazhipattur, Padur, OMR, Chennai, Tami Nadu",CHENGALPATTU,TAMIL NADU,603103,board,DIPLOMA / MYP / PYP,20 December 2016,PRIVATE,Day,Coeducational,English,https://www.gatewayschools.edu.in,https://www.ibo.org/en/school/051564,2026-08-25
051816,Rockwell International School,"Sy No. 160(p) Gandipet Main Road, KOKAPET, Dist. Ranga Reddy, Hyderabad, Telangana",RANGA REDDY,TELANGANA,500075,board,DIPLOMA,19 March 2019,PRIVATE,Day,Coeducational,English,https://rockwellinternationalschool.com,https://www.ibo.org/en/school/051816,2026-08-25
051851,"Oakridge International School, Visakhapatnam","Oakridge International School, Visakhapatnam, NH 16 Road, Behind HP Petrol bunk, Maharajpeta Junction, Tagarapuvalasa, Visakhapatnam, Andhra Pradesh",VIZIANAGARAM,ANDHRA PRADESH,531162,board,DIPLOMA,19 June 2019,PRIVATE,Day,Coeducational,English,https://www.oakridge.in/visakhapatnam,https://www.ibo.org/en/school/051851,2026-08-25
051980,"Podar ORT International School, Worli","Podar ORT School Building, 68 Worli Hill Estate, Mumbai, Maharashtra",MUMBAI,MAHARASHTRA,400018,board,DIPLOMA / MYP / PYP,08 February 2019,PRIVATE,Day,Coeducational,English,https://podareducation.org/school/worli,https://www.ibo.org/en/school/051980,2026-08-25
052095,KC High,"KC High, Olympia Panache, Navallur, OMR, Chennai, Tamil Nadu",CHENGALPATTU,TAMIL NADU,600130,board,DIPLOMA,29 April 2018,PRIVATE,Day,Coeducational,English,https://www.kchigh.com,https://www.ibo.org/en/school/052095,2026-08-25
052099,Don Bosco International School,"Nathalal Parekh Marg, Matunga East, Mumbai, Maharashtra",MUMBAI,MAHARASHTRA,400019,board,DIPLOMA / PYP,02 July 2018,PRIVATE,Day,Coeducational,English,https://dbis.in,https://www.ibo.org/en/school/052099,2026-08-25
052163,Sharanya Narayani International School,"232/1, Thoranahalli, Byranahalli Post, Near Hoskote – Kolar Highway, Near Hoskote, Bangalore, Karnataka",KOLAR,KARNATAKA,563130,board,DIPLOMA / MYP / PYP,12 September 2018,PRIVATE,Mixed / Boarding,Coeducational,English,https://www.snis.edu.in,https://www.ibo.org/en/school/052163,2026-08-25
052185,The Gaudium School,"The Gaudium School, A Unit of Triaarsha Educational Society, Velimela (V) Ramachandrapuram Mandal, Sangareddy District, Hyderabad, Telangana",SANGAREDDY,TELANGANA,502300,board,DIPLOMA / MYP / PYP,06 April 2018,PRIVATE,Day / Mixed / None,Coeducational,English / Hindi,https://www.thegaudium.com,https://www.ibo.org/en/school/052185,2026-08-25
052316,Modern High School International,"78 Syed Amir Ali Avenue, Kolkata, West Bengal",KOLKATA,WEST BENGAL,700019,board,DIPLOMA,25 January 2018,PRIVATE,Day,Coeducational,English,https://mhsi.edu.in/,https://www.ibo.org/en/school/052316,2026-08-25
052406,aLphabet internationaL schooL,"3, MGR Salai, Palavakkam, ECR, Chennai, Tamilnadu",CHENNAI,TAMIL NADU,600041,board,DIPLOMA / MYP / PYP,06 March 2018,PRIVATE,Day,Coeducational,English,https://www.alphabet.school,https://www.ibo.org/en/school/052406,2026-08-25
052434,Bloomingdale International School,"Bloomingdale International School, Bloomingdale International School Road, Poranki, Behind AP Fisheries, Vijayawada, Andhra Pradesh",KRISHNA,ANDHRA PRADESH,521137,board,DIPLOMA / MYP / PYP,08 April 2019,PRIVATE,Day,Coeducational,English,https://bloomingdale.edu.in,https://www.ibo.org/en/school/052434,2026-08-25
052546,Christ Junior College,"HOSUR ROAD, Dharmaram College P O, BANGALORE, KARNATAKA",BENGALURU URBAN,KARNATAKA,560029,board,DIPLOMA,15 February 2018,PRIVATE,Day,Coeducational,English,https://www.christjuniorcollege.in,https://www.ibo.org/en/school/052546,2026-08-25
060025,MRS Educational Trust (Redbridge international Academy),"Survey #114, Bingipura Village, Begur Koppa Road,Hulimangala Post,Jigani Hobli, Bengaluru, Karnataka",BENGALURU URBAN,KARNATAKA,560105,board,DIPLOMA,13 December 2018,PRIVATE,Mixed,Coeducational,English,https://www.rbia.in,https://www.ibo.org/en/school/060025,2026-08-25
060039,The White School International,"HiLITE Knowledge Village, Parammal, Perumanna, Calicut, Kerala",KOZHIKODE,KERALA,673019,board,DIPLOMA / MYP / PYP,11 June 2019,PRIVATE,Mixed / Boarding,Coeducational,English,https://www.thewhiteschool.in,https://www.ibo.org/en/school/060039,2026-08-25
060061,"JBCN International School, Parel","Yogi Mansion, CTS No. 244, Dr. Walimbe Road, Parel (East), Mumbai, Maharashtra",MUMBAI,MAHARASHTRA,400012,board,DIPLOMA / PYP,06 March 2018,PRIVATE,Day,Coeducational,English / Hindi,https://www.jbcnschool.edu.in/jbcn-international-school-parel.html,https://www.ibo.org/en/school/060061,2026-08-25
060095,VIVA The School,"VIVA THE SCHOOL, Beside VVIT college campus, NAMBUR village, Pedakakani Mandal, Guntur, Andhra Pradesh",GUNTUR,ANDHRA PRADESH,522508,board,PYP,03 November 2018,PRIVATE,Boarding,Coeducational,English / Telugu,https://www.viva.school,https://www.ibo.org/en/school/060095,2026-08-25
060124,"The Shriram Millennium School, Noida","Sector 135, Noida Expressway, Noida",GAUTAM BUDDHA NAGAR,UTTAR PRADESH,201301,board,DIPLOMA,21 December 2021,PRIVATE,Day,Coeducational,English,https://www.tsms.org.in,https://www.ibo.org/en/school/060124,2026-08-25
060128,Legacy School,"Hennur Road, Bangalore, Karnataka",BENGALURU URBAN,KARNATAKA,560077,board,DIPLOMA,14 June 2018,PRIVATE,Day,Coeducational,English / Hindi,https://lsb.edu.in/,https://www.ibo.org/en/school/060128,2026-08-25
060149,Meridian School,"11/4and11/5,100ft Road opp.Cyber Towers Madhapur Hyderabad, Hyderabad",HYDERABAD,TELANGANA,500081,board,PYP,29 October 2019,PRIVATE,Day,Coeducational,English / Hindi,https://meridianmadhapur.com/,https://www.ibo.org/en/school/060149,2026-08-25
060150,SVB's International School Dombivli,"KALYAN SHILL ROAD, SANKARA NAGAR, SONARPADA, DOMBIVLI (E), THANE, MAHARASHTRA, 421 201",THANE,MAHARASHTRA,421201,india_post_directory,MYP / PYP,20 September 2018,PRIVATE,Day,Coeducational,English / Hindi,https://www.nesisd.org.in,https://www.ibo.org/en/school/060150,2026-08-25
060151,Finland International School - Thane,"Shreenagar Main Road No 27 Wagale Estate, Thane",THANE,MAHARASHTRA,400604,board,DIPLOMA,24 October 2019,PRIVATE,Day,Coeducational,English / Hindi,https://fisthane.in/,https://www.ibo.org/en/school/060151,2026-08-25
060159,The Universal School,"Plot No.17 B, Tilak road, Ghatkopar, Mumbai, Maharashtra",MUMBAI SUBURBAN,MAHARASHTRA,400077,board,DIPLOMA,05 February 2018,PRIVATE,Day,Coeducational,English / Hindi,https://ghatkopar.universalschool.edu.in/,https://www.ibo.org/en/school/060159,2026-08-25
060219,"C.P Goenka International School, Oshiwara","C P Goenka International School - A-21, Near the Income Tax Quarters, Oshiwara, Andheri West, MUMBAI, Maharashtra",MUMBAI SUBURBAN,MAHARASHTRA,400053,board,DIPLOMA,04 August 2018,PRIVATE,Day,Coeducational,English,https://www.cpgoenkainternationalschool.com/,https://www.ibo.org/en/school/060219,2026-08-25
060231,Sanjay Ghodawat International School,"Gat 555, Sangli- Kolhapur Highway, Post Atigre, Kolhapur, Maharashtra",KOLHAPUR,MAHARASHTRA,416118,board,DIPLOMA,07 May 2019,PRIVATE,Mixed,Coeducational,English / French,https://www.sgischool.in,https://www.ibo.org/en/school/060231,2026-08-25
060311,Fountainhead Wockhardt Global School,"Dr. Habil Khorakiwala Education and Health Foundation, Five Star Industrial Estate, MIDC, Shendra, Aurangabad, Maharashtra",AURANGABAD,MAHARASHTRA,431154,board,DIPLOMA / MYP / PYP,09 May 2019,PRIVATE,Day,Coeducational,English,https://fwgs.in,https://www.ibo.org/en/school/060311,2026-08-25
060325,Woodstock School,"Tehri Road, Mussoorie",DEHRADUN,UTTARAKHAND,248179,board,DIPLOMA / MYP,09 May 2019,PRIVATE,Boarding,Coeducational,English,https://www.woodstockschool.in,https://www.ibo.org/en/school/060325,2026-08-25
060444,Chinmaya International Vidyalaya,"P-125 , Warangade ,Maan, District Palghar, Maharashtra-401501, Boisar, Maharashtra",PALGHAR,MAHARASHTRA,401501,board,DIPLOMA / MYP / PYP,10 April 2020,PRIVATE,Day,Coeducational,English / Hindi,https://chinmayainternationalvidyalaya.com,https://www.ibo.org/en/school/060444,2026-08-25
060445,K.R. MANGALAM GLOBAL SCHOOL,"N-Block, Nandi Vithi Road, Greater Kailash-1, NEW DELHI, DELHI",SOUTH,DELHI,110048,board,DIPLOMA / IBCC / MYP / PYP,16 April 2020,PRIVATE,Day,Coeducational,English / Hindi,https://krmangalam.global/,https://www.ibo.org/en/school/060445,2026-08-25
060449,Akshar Arbol International School - ECR,"1/279 Bethel Nagar North 9th Street, Injambakkam, Chennai, Tamil Nadu",CHENNAI,TAMIL NADU,600115,board,DIPLOMA / PYP,24 April 2015,PRIVATE,Day,Coeducational,English,https://www.akshararbol.edu.in,https://www.ibo.org/en/school/060449,2026-08-25
060453,"JBCN International School, Oshiwara","Harrow Avenue, Off Andheri Link Road, Oshiwara, Behind Tarapore Towers,Oshiwara, Andheri (W), MUMBAI, Maharashtra",MUMBAI SUBURBAN,MAHARASHTRA,400058,board,DIPLOMA / PYP,18 October 2018,PRIVATE,Day,Coeducational,English,https://jbcnschool.edu.in,https://www.ibo.org/en/school/060453,2026-08-25
060570,CANARY THE SCHOOL,"D.no.1-110/3/B Gautami Valley, Near Substation Road, MAdinaguda, Hyderabad, Telangana, 5000049",MEDCHAL MALKAJGIRI,TELANGANA,500049,same_school_other_board,PYP,17 April 2020,PRIVATE,Day,Coeducational,English,https://www.canaryschool.in/,https://www.ibo.org/en/school/060570,2026-08-25
060598,Shantiniketan International School,"35-25,GK colony,RK Puram,Neredmet,Sanikpuri, Secunderabad, Telengana",HYDERABAD,TELANGANA,500056,board,PYP,29 October 2019,PRIVATE,Day,Coeducational,English,https://www.snis.org.in,https://www.ibo.org/en/school/060598,2026-08-25
060600,Shiv Nadar School Noida,"SS-1,168 Noida Expressway, NOIDA",GAUTAM BUDDHA NAGAR,UTTAR PRADESH,201305,board,DIPLOMA / MYP,05 February 2019,PRIVATE,Day,Coeducational,English,https://shivnadarschool.edu.in,https://www.ibo.org/en/school/060600,2026-08-25
060604,SHIV NADAR SCHOOL GURUGRAM,"E BLOCK, PAHARI ROAD, SUNSET BOULEVARD; OPPOSITE ARALIYAS, DLF CITY PHASE I, GURUGRAM",GURUGRAM,HARYANA,122002,board,DIPLOMA / MYP,06 March 2019,PRIVATE,Day,Coeducational,English,https://shivnadarschool.edu.in/gurgaon,https://www.ibo.org/en/school/060604,2026-08-25
060621,CHATRABHUJ NARSEE SCHOOL,"Off western Express Highway, Thakur Village, Kandivali East, Mumbai, Maharashtra",MUMBAI SUBURBAN,MAHARASHTRA,400101,board,DIPLOMA,04 June 2020,PRIVATE,Day,Coeducational,English,https://www.cns.ac.in,https://www.ibo.org/en/school/060621,2026-08-25
060686,NEXT School,"Ramniklal Zaverbhai Shah Trust, NEXT school, Off Devidayal road, Mulund West, MUMBAI, Maharashtra",MUMBAI SUBURBAN,MAHARASHTRA,400080,board,DIPLOMA / IBCC / MYP / PYP,02 December 2019,PRIVATE,Day,Coeducational,English,https://www.nextschool.org,https://www.ibo.org/en/school/060686,2026-08-25
060691,Oberoi International School - JVLR Campus,"Jogeshwari Vikroli Link Road, Jogeshwari East, Mumbai, Maharashtra",MUMBAI SUBURBAN,MAHARASHTRA,400060,board,DIPLOMA / MYP / PYP,31 January 2020,PRIVATE,Day,Coeducational,English,https://www.oberoi-is.org/,https://www.ibo.org/en/school/060691,2026-08-25
060713,Silver Oaks International School Visakhapatnam,"Beside Gitam Medical College Rushikonda Road Visakhapatnam, Visakhapatnam, Andhra Pradesh",VISAKHAPATANAM,ANDHRA PRADESH,530045,board,PYP,16 October 2019,PRIVATE,Day,Coeducational,English / Telugu,https://www.silveroaks.co.in,https://www.ibo.org/en/school/060713,2026-08-25
060831,Sunshine Worldwide School,"B -322, Bainguinim, Old Goa, Goa, Off NH - 748, Kadamba Plateau, Tiswadi, Old Goa",NORTH GOA,GOA,403402,board,IBCC / PYP,21 October 2020,PRIVATE,Day,Coeducational,English / Hindi,https://sunshineworldwideschool.com,https://www.ibo.org/en/school/060831,2026-08-25
060839,G Global School,"29A, Rajagoundampalayam, 2nd Street, Pallipalayam Main Road, Tiruchengode, Namakkal, Tamilnadu",NAMAKKAL,TAMIL NADU,637211,board,PYP,02 April 2020,PRIVATE,Day,Coeducational,English / Tamil,https://www.gglobalschool.com,https://www.ibo.org/en/school/060839,2026-08-25
060876,Ela Green School,"Karambur Village, Near Maraimalai Nagar, Chengalpattu Taluk, Chennai, Tamil Nadu",CHENGALPATTU,TAMIL NADU,603209,board,DIPLOMA / MYP / PYP,28 May 2021,PRIVATE,Mixed / Day,Coeducational,English,https://www.elagreenschool.org,https://www.ibo.org/en/school/060876,2026-08-25
060924,"Apeejay School International , Panchsheel Park","Panchsheel Park, Sheikh Sarai - 1, New Delhi, Delhi",SOUTH,DELHI,110017,board,DIPLOMA / MYP / PYP,18 June 2020,PRIVATE,Day,Coeducational,English,https://intl.apeejay.edu/,https://www.ibo.org/en/school/060924,2026-08-25
060926,BLISS International School,"38, Rajiv Gandhi Infotech Park, Phase 1, Hinjawadi, Pune, Maharashtra",PUNE,MAHARASHTRA,411057,board,DIPLOMA / MYP / PYP,22 January 2021,PRIVATE,Day,Coeducational,English / Hindi,https://blissinternationalschool.org/,https://www.ibo.org/en/school/060926,2026-08-25
061065,The International Village School Chennai,"89-91, Clasic Farms Road, Sholinganallur, Chennai, Tamil Nadu, 600 119",CHENNAI,TAMIL NADU,600119,india_post_directory,MYP / PYP,29 June 2020,PRIVATE,Day,Coeducational,English,https://internationalvillage.org,https://www.ibo.org/en/school/061065,2026-08-25
061077,"Gems Modern Academy, Kochi","Gems Education Society, Plot B1-4 , Smartcity Infrastructure Pvt Ltd, Brahmapuram, Kochi, Kerala",ERNAKULAM,KERALA,682303,board,PYP,30 November 2020,PRIVATE,Day,Coeducational,English,https://gemsmodernacademy-kochi.in,https://www.ibo.org/en/school/061077,2026-08-25
061092,Elpro International School,"Elpro International School IB Wing, Shridhar Nagar Road, Pimpri-Chinchwad Link Road, Pune, Maharashtra",PUNE,MAHARASHTRA,411033,board,DIPLOMA / IBCC,01 May 2021,PRIVATE,Day,Coeducational,English,https://www.elproschools.edu.in,https://www.ibo.org/en/school/061092,2026-08-25
061098,Bodhi International School,"Shikargargh, Jodhpur, Rajasthan",JODHPUR,RAJASTHAN,342001,board,PYP,01 May 2021,PRIVATE,Day,Coeducational,English,https://www.bodhijodhpur.com/,https://www.ibo.org/en/school/061098,2026-08-25
061210,GPS Brookes Kochi,"GPS Brookes Kochi , 12/122 , Thiruvaniyoor, via Chottanikkara, Ernakulam, Kerala",ERNAKULAM,KERALA,682308,board,DIPLOMA / PYP,24 February 2020,PRIVATE,Boarding / Mixed,Coeducational,English,https://gpsbrookeskochi.org/,https://www.ibo.org/en/school/061210,2026-08-25
061259,Kai Early Years,"66/2 Nallurhalli Main Road, Whitefield, Bangalore, Karnataka",BENGALURU URBAN,KARNATAKA,560066,board,PYP,29 September 2020,PRIVATE,Day,Coeducational,English / Hindi,https://www.kaiearlyyears.com,https://www.ibo.org/en/school/061259,2026-08-25
061347,G D GOENKA GLOBAL SCHOOL,"3130, BLOCK S, DLF PHASE 3, Gurgaon, Haryana",GURUGRAM,HARYANA,122010,board,PYP,23 December 2021,PRIVATE,Day,Coeducational,English / Hindi,https://www.gdgoenkaglobal.com,https://www.ibo.org/en/school/061347,2026-08-25
061396,Lady Andal School,"Lady Andal School, 'Shenstone Park' #7, Harrington Road, Chetpet, Chennai, Tamil nadu",CHENNAI,TAMIL NADU,600031,board,DIPLOMA / MYP / PYP,11 October 2021,PRIVATE,Day,Coeducational,English,https://www.ladyandalschool.edu.in,https://www.ibo.org/en/school/061396,2026-08-25
061408,The Indian Public School - Salem,"Near Kuruvampatti Zoological Park, Chettichavadi, Kannankuruchi, Salem, Tamilnadu",SALEM,TAMIL NADU,636008,board,PYP,14 June 2021,PRIVATE,Day,Coeducational,English / Tamil,https://www.theindianpubclischool.org,https://www.ibo.org/en/school/061408,2026-08-25
061424,GJR International School,"GJR International School, AECS Layout, Marathahalli, Marathahalli, Bangalore, Karnataka",BENGALURU URBAN,KARNATAKA,560037,board,PYP,15 March 2021,PRIVATE,Day,Coeducational,English,https://gjrinternationalschool.edu.in,https://www.ibo.org/en/school/061424,2026-08-25
061470,INTERNATIONAL FATEH ACADEMY,"International Fateh Academy, Academy Road, Jandiala Guru, Amritsar, Punjab",AMRITSAR,PUNJAB,143115,board,PYP,08 March 2022,PRIVATE,Mixed,Coeducational,English / Panjabi / Punjabi,https://fatehacademy.com,https://www.ibo.org/en/school/061470,2026-08-25
061489,Harvest International School,"Campus 1 - Kodathi Village, Carmalram Post, Off Sarjapur Road, Next to Kodathi Silk Farm, Bangalore, Karnataka, India",BENGALURU URBAN,KARNATAKA,560035,board,MYP / PYP,16 March 2021,PRIVATE,Day,Coeducational,English / Hindi,"https://www.harvestinternationalschool.in/,harvestibschool.com/",https://www.ibo.org/en/school/061489,2026-08-25
061551,INDIA KIDS SCHOOL,"Opp. H.P. Petrol Pump, Omara, Udhampur, Jammu and Kashmir",UDHAMPUR,JAMMU AND KASHMIR,182101,board,PYP,10 October 2023,PRIVATE,Day,Coeducational,English / Hindi,https://indiakidsschool.com,https://www.ibo.org/en/school/061551,2026-08-25
061558,Crossroads International School,"11 - 12, Modern Complex, Devendra Dham ki gali/ Lane, Opp Celebration Mall, Nr Water Tank, Udaipur, Rajasthan",UDAIPUR,RAJASTHAN,313003,board,PYP,27 June 2021,PRIVATE,Day,Coeducational,English / Hindi,https://www.crossroadsschool.in,https://www.ibo.org/en/school/061558,2026-08-25
061596,UNICOSMOS,"UNICOSMOS, School Site 2 Sector 55 Gurugram, off golf course road, Gurugram, Haryana",GURUGRAM,HARYANA,122011,board,PYP,10 February 2023,PRIVATE,Day,Coeducational,English / Hindi,https://www.unicosmos.in,https://www.ibo.org/en/school/061596,2026-08-25
061632,United World Academy,"Sy No. 1/1 and 62, Chikkawadayerapura, Sarjapur Hobali, Anekal Taluk, Bangalore, Karnataka",BENGALURU RURAL,KARNATAKA,560087,board,DIPLOMA,27 September 2024,PRIVATE,Day,Coeducational,English,https://uwa.edu.in,https://www.ibo.org/en/school/061632,2026-08-25
061657,SANATAN HIGH SCHOOL,"Sanatan High School, Ranjeet Nagar, Ranjeet Nagar, BHARATPUR, Rajasthan",BHARATPUR,RAJASTHAN,321001,board,PYP,06 September 2022,PRIVATE,Day,Coeducational,English / Hindi,https://www.sanatanschool.co.in,https://www.ibo.org/en/school/061657,2026-08-25
061695,Prometheus School,"I-7, Jaypee WishTown, Sector 131, Noida, Uttar Pradesh",GAUTAM BUDDHA NAGAR,UTTAR PRADESH,201304,board,DIPLOMA / MYP / PYP,01 May 2021,PRIVATE,Day,Coeducational,English / Hindi,https://www.prometheusschool.com/,https://www.ibo.org/en/school/061695,2026-08-25
061780,Shiv Nadar School Faridabad,"Neharpar, Greater Faridabad, Sector 82, FARIDABAD, Haryana",FARIDABAD,HARYANA,121002,board,DIPLOMA / MYP,15 March 2023,PRIVATE,Day,Coeducational,English,https://www.shivnadarschool.edu.in,https://www.ibo.org/en/school/061780,2026-08-25
061822,DPSG Palam Vihar,"Sector -1 , Major Sushil Aima Marg, I- Block, Palam Vihar, Opposite Metro hospital, Gurugram, Haryana",GURUGRAM,HARYANA,122017,board,PYP,01 December 2021,PRIVATE,Day,Coeducational,English / Hindi,https://pv.dpsgs.org,https://www.ibo.org/en/school/061822,2026-08-25
061875,Cochin International School,"18/431A, Vayanashala Chemmalapady Road, Pukkattupady, Malayidamthuruth P.O, Ernakulam, Kerala",ERNAKULAM,KERALA,683561,board,DIPLOMA / PYP,03 November 2023,PRIVATE,Mixed / Day,Coeducational,English,https://www.cochins.org/,https://www.ibo.org/en/school/061875,2026-08-25
061905,SKILL STORK INTERNATIONAL SCHOOL,"55-1-219, SVS Campus, Bheemaram, Hasanparthy(m), Warangal, Telangana, Warangal Urban, Telangana",HANUMAKONDA,TELANGANA,506015,board,DIPLOMA / MYP / PYP,03 March 2023,PRIVATE,Day,Coeducational,English,https://www.skillstork.org,https://www.ibo.org/en/school/061905,2026-08-25
061912,KAMALA NIKETAN INTERNATIONAL SCHOOL,"No.3/4 A(P), 3/4 B(P) Block 1 Ward No.AA, Abhishekapuram Village, Via Kulumai Amman Temple, Trichy, Tamil Nadu",TIRUCHIRAPPALLI,TAMIL NADU,620001,board,PYP,12 December 2025,PRIVATE,Day,Coeducational,English / Tamil,https://www.kamalaniketan.com,https://www.ibo.org/en/school/061912,2026-08-25
061941,Amrita International Vidyalayam,"Amrita International Vidyalayam, Choodasandra, Huskur Post, Bengaluru, Karnataka",BENGALURU URBAN,KARNATAKA,560099,board,MYP / PYP,01 March 2022,PRIVATE,Day,Coeducational,English,https://www.amritainternational.com,https://www.ibo.org/en/school/061941,2026-08-25
062004,THE CHOICE SCHOOL.,"53 NADAMA EAST, THRIPUNITHURA, ERNAKULAM, KERALA",ERNAKULAM,KERALA,682301,board,DIPLOMA / MYP / PYP,16 January 2024,PRIVATE,Mixed,Coeducational,English / French / Malayalam,https://choiceschool.com/,https://www.ibo.org/en/school/062004,2026-08-25
062032,BGS International Academia School,"BGS Knowledge City, Gollahalli, Kengeri Hobli, Bangalore, Karnataka",BENGALURU URBAN,KARNATAKA,560074,board,DIPLOMA / PYP,21 September 2022,PRIVATE,Mixed,Coeducational,English / French,https://bgsias.school/,https://www.ibo.org/en/school/062032,2026-08-25
062124,Aarth Universal School,"Block No. 148, Malagama Village, Surat-Barbodhan Road, Surat, Gujarat",SURAT,GUJARAT,395005,board,MYP / PYP,22 November 2022,PRIVATE,Day,Coeducational,English,https://aarthuniversalschool.org,https://www.ibo.org/en/school/062124,2026-08-25
062150,"The Bombay Suburban Grain Dealers' Junior College of Commerce,Arts and Science","Road 1 Bhavishya Bharat Campus, Bhadran Nagar, Off S. V. Road, Malad (West), Mumbai, Maharashtra",MUMBAI SUBURBAN,MAHARASHTRA,400064,board,IBCC,17 October 2022,PRIVATE,Day,Coeducational,English,https://www.bsgdjrc.ac.in,https://www.ibo.org/en/school/062150,2026-08-25
062164,Udgam School for Children,"Udgam School for children, Opp. Sardar Patel institute, Thaltej, Ahmedabad, Ahmedabad, Gujrat",AHMADABAD,GUJARAT,380054,board,IBCC,19 September 2022,PRIVATE,Day,Coeducational,English,https://www.udgamschool.com,https://www.ibo.org/en/school/062164,2026-08-25
062193,C P Goenka International School (Pune),"Wagholi behind Hotel Mapple Ubale nagar, Pune, MH",PUNE,MAHARASHTRA,412207,board,IBCC,02 November 2022,PRIVATE,Day,Coeducational,English,https://www.cpgoenkapune.com,https://www.ibo.org/en/school/062193,2026-08-25
062207,"JBCN International School, Chembur","Yogi Tower, Chembur Education Society, CTS No. 1284, Ramakrishna Chemburkar Marg, Chembur, Mumbai, MH",MUMBAI SUBURBAN,MAHARASHTRA,400071,board,DIPLOMA / PYP,14 June 2022,PRIVATE,Day,Coeducational,English,https://www.jbcnschool.edu.in/chembur/,https://www.ibo.org/en/school/062207,2026-08-25
062209,"KNOWLEDGEUM ACADEMY, JAYANAGAR","JAIN KNOWLEDGE CAMPUS, # 44/4, District Fund Road, Jayanagar 9th Block, Bengaluru, Karnataka",BENGALURU URBAN,KARNATAKA,560069,board,DIPLOMA / IBCC,30 January 2022,PRIVATE,Day,Coeducational,English,https://knowledgeumacademy.in,https://www.ibo.org/en/school/062209,2026-08-25
062215,Delhi Public School Ghaziabad Vasundhara,"Sector 9, Vasundhara, Ghaziabad, Uttar Pradesh",GHAZIABAD,UTTAR PRADESH,201012,board,PYP,27 February 2023,PRIVATE,Day,Coeducational,English / Hindi,https://www.dpsgs.org/vasundhara,https://www.ibo.org/en/school/062215,2026-08-25
062222,Cygnus International School,"Besides Motnath Mahadev Temple, Harni, Vadodara, Gujarat",VADODARA,GUJARAT,390022,board,DIPLOMA,17 March 2022,PRIVATE,Day,Coeducational,English / Hindi,https://www.cygnusinternational.org,https://www.ibo.org/en/school/062222,2026-08-25
062228,One World International School Whitefield,"One World International School, 95, Goravigere Village, Kannamangala Post, Bidarahalli Hobli, Bengaluru East Taluk, Bengaluru, karnataka",BENGALURU RURAL,KARNATAKA,560067,board,MYP / PYP,04 January 2023,PRIVATE,Day,Coeducational,English / Hindi,https://owis.org/in/whitefield/,https://www.ibo.org/en/school/062228,2026-08-25
062396,Chaman Bhartiya School,"Chaman Bhartiya School, Bhartiya City, Thanisandra Main Road, Bangalore, Karnataka",BENGALURU URBAN,KARNATAKA,560064,board,DIPLOMA / MYP,23 September 2024,PRIVATE,Day,Coeducational,English / Kannada,https://www.chamanbhartiya.com,https://www.ibo.org/en/school/062396,2026-08-25
062440,Vedanya,"Central Park Resorts Rd, Sec-48, Gurugram, Haryana",GURUGRAM,HARYANA,122018,board,PYP,03 April 2024,PRIVATE,Day,Coeducational,English,https://www.vedanya.edu.in,https://www.ibo.org/en/school/062440,2026-08-25
062444,Satya School,"Satya School, Sector 49, Block-E, South City II, Gurgaon, Haryana",GURUGRAM,HARYANA,122018,board,PYP,30 June 2023,PRIVATE,Day,Coeducational,English,https://satyaschool.com,https://www.ibo.org/en/school/062444,2026-08-25
062466,Delhi Public School Bangalore East,"43/1B & 45 Kodathi Sulikunte Village, Dommasandra Post, Sarjapur Road, Bangalore, Karnataka",BENGALURU URBAN,KARNATAKA,562125,board,DIPLOMA / IBCC,04 April 2023,PRIVATE,Day,Coeducational,English,https://east.dpsbangalore.edu.in/,https://www.ibo.org/en/school/062466,2026-08-25
062574,Lucent Global School,"Lucent Global School, Harnag-Batengoo bye pass, Anantnag, Kashmir, JK",ANANTNAG,JAMMU AND KASHMIR,192101,board,PYP,06 June 2025,PRIVATE,Day,Coeducational,English,https://lucentglobalschool.com/,https://www.ibo.org/en/school/062574,2026-08-25
062596,Delhi Public School Bangalore North,"Sy No.35/1a, Sathanur Village, Bagalur Post, Jala Hobli, Bangalore, Karnataka",BENGALURU URBAN,KARNATAKA,562149,board,IBCC,15 March 2023,PRIVATE,Day,Coeducational,English,https://www.north.dpsbangalore.edu.in,https://www.ibo.org/en/school/062596,2026-08-25
