ib_code,name,address,district,state,pincode,pincode_source,programmes,ib_since,school_type,boarding,gender,teaching_languages,website,source_url,captured_on
004876,Greenwood High,"No.8-14, Chikkawadayara Pura, Near Heggondahalli, Gunjur Post, Varthur via, Bangalore, Karnataka",BENGALURU RURAL,KARNATAKA,560087,board,DIPLOMA,18 February 2011,PRIVATE,Mixed,Coeducational,English,https://www.greenwoodhigh.edu.in/,https://www.ibo.org/en/school/004876,2026-08-25
004911,Stonehill International School,"259 / 333 / 334 / 335, Tarahunise Post, Jala Hobli, Bangalore, Bangalore North,Karnataka",BENGALURU URBAN,KARNATAKA,562157,board,DIPLOMA / IBCC / MYP / PYP,20 May 2010,PRIVATE,Day / Mixed,Coeducational,English,https://www.stonehill.in,https://www.ibo.org/en/school/004911,2026-08-25
004974,Aditya Birla World Academy,"Gamadia Colony Road, TulsiwadiMumbai",MUMBAI,MAHARASHTRA,400034,board,DIPLOMA,24 February 2010,PRIVATE,Day,Coeducational,English,https://www.adityabirlaworldacademy.com/,https://www.ibo.org/en/school/004974,2026-08-25
004975,Step by Step School,"Plot-A 10, Sector-132 Taj Expressway, Noida, Uttar Pradesh",GAUTAM BUDDHA NAGAR,UTTAR PRADESH,201303,board,DIPLOMA,24 April 2012,PRIVATE,Day,Coeducational,English,https://sbs-school.org/,https://www.ibo.org/en/school/004975,2026-08-25
004976,Sreenidhi International School,"Sreenity Workspace, D. No. 8-2-293/82/JIII/564/A/17, 4th Floor, Road No 92, Near Lotus Pond, Beside NTv, Jubilee Hills, Hyderabad, Telengana",HYDERABAD,TELANGANA,500033,board,DIPLOMA / IBCC / MYP / PYP,19 April 2010,PRIVATE,Mixed,Coeducational,English,https://sis.edu.in,https://www.ibo.org/en/school/004976,2026-08-25
006035,Modern School,"Sector E, Aliganj, Lucknow, Lucknow, Uttar Pradash",LUCKNOW,UTTAR PRADESH,226024,board,PYP,25 January 2013,PRIVATE,Day,Coeducational,English / Hindi,https://www.modernschool.org,https://www.ibo.org/en/school/006035,2026-08-25
006165,Calcutta International School Society,"724, Anandapur, Beside E M Bypass, Kolkata",KOLKATA,WEST BENGAL,700107,board,DIPLOMA,12 September 2012,PRIVATE,Day,Coeducational,English,https://www.calcuttais.edu.in,https://www.ibo.org/en/school/006165,2026-08-25
006295,Treamis International School,"263 Hulimangala Post, Hulimangala Post, Bangalore, Karnataka",BENGALURU URBAN,KARNATAKA,560095,board,DIPLOMA / PYP,26 April 2019,PRIVATE,Mixed,Coeducational,English / Kannada,https://treamis.org,https://www.ibo.org/en/school/006295,2026-08-25
006319,KiiT International School,"Kiit Campus 9, Bhubaneswar, Orissa,Odisha",KHORDHA,ODISHA,751024,board,DIPLOMA,30 December 2010,PRIVATE,Mixed,Coeducational,English,https://www.kiitis.ac.in,https://www.ibo.org/en/school/006319,2026-08-25
006381,Pathways School Gurgaon,"Pathways School Gurgaon (a unit of PRJ Ventures Pvt. Ltd., 2 Sainik Farms New Delhi, New Delhi, Delhi, Delhi",SOUTH,DELHI,110062,board,DIPLOMA / IBCC / MYP / PYP,27 July 2010,PRIVATE,Day,Coeducational,English,https://www.pathwaysgurgaon.edu.in/,https://www.ibo.org/en/school/006381,2026-08-25
006382,Pathways School Noida,"Pathways School Noida, A unit of Sarla Holdings Pvt Ltd., Sector 100, NCR East, Noida, Uttar Pradesh",GAUTAM BUDDHA NAGAR,UTTAR PRADESH,201301,board,DIPLOMA / IBCC / MYP / PYP,27 July 2010,PRIVATE,Day,Coeducational,English,https://www.pathwaysnoida.edu.in/,https://www.ibo.org/en/school/006382,2026-08-25
006430,Bombay International School,"Gilbert Building, 2nd Cross Lane, Babulnath, Mumbai, Maharashtra",MUMBAI,MAHARASHTRA,400007,board,DIPLOMA / PYP,17 March 2011,PRIVATE,Day,Coeducational,English,https://bis.edu.in,https://www.ibo.org/en/school/006430,2026-08-25
006560,The Cathedral and John Connon School,"6 Purushottamdas, Thakurdas Marg, Mumbai, Maharashtra",MUMBAI,MAHARASHTRA,400001,board,DIPLOMA,28 January 2015,PRIVATE,Day,Coeducational,English,https://www.cathedral-school.com/,https://www.ibo.org/en/school/006560,2026-08-25
006599,Oakridge International School,"Survey No. 166/6, Bowrampet Village, Near Bachupally, Hyderabad, Andhra Pradesh",MEDCHAL MALKAJGIRI,TELANGANA,500043,board,DIPLOMA / PYP,23 March 2012,PRIVATE,Day,Coeducational,English,https://www.oakridge.in/,https://www.ibo.org/en/school/006599,2026-08-25
006619,Lancers International School,"DLF Phase V, Sector 53, Gurgaon, Haryana",GURUGRAM,HARYANA,122001,board,DIPLOMA / IBCC / MYP / PYP,15 June 2011,PRIVATE,Mixed,Coeducational,English,https://www.lis.ac.in/,https://www.ibo.org/en/school/006619,2026-08-25
006671,"D Y Patil International School, Nerul","Dr.D.Y.Patil Vidyanagar, Sector 7, Nerul, Navi Mumbai",THANE,MAHARASHTRA,400706,board,DIPLOMA,01 June 2011,PRIVATE,Boarding,Coeducational,English,https://www.dypisnerul.in/,https://www.ibo.org/en/school/006671,2026-08-25
006748,Ryan Global School,"Yamuna Nagar, Lokhandwala, Andheri (west), Mumbai",MUMBAI SUBURBAN,MAHARASHTRA,400058,board,PYP,18 June 2012,PRIVATE,Day,Coeducational,English,https://www.ryanglobalschools.com/,https://www.ibo.org/en/school/006748,2026-08-25
006798,TRIO World Academy,"Trio Vidyakkendra Pvt Ltd, #3/5, Kodigehalli Main Road, Sahakar Nagar, Bangalore, Karnataka",BENGALURU URBAN,KARNATAKA,560092,board,DIPLOMA / PYP,10 April 2017,PRIVATE,Mixed,Coeducational,English,https://trioworldacademy.com,https://www.ibo.org/en/school/006798,2026-08-25
