affiliation_no,school_code,name,address,district,state,country,pincode,pincode_source,level,affiliated_from,affiliated_to,school_type,medium,gender,year_founded,managing_trust,website,source_url,captured_on
130732,56654,SRI VIGNAN ENGLISH MEDIUM HIGH SCHOOL,"M. KOTHAPALLI(VILLAGE), KADIRI MAIN ROAD, O.D.CHERUVU (MANDAL), SRI SATHYA SAI(DI",ANANTHAPURAMU,ANDHRA PRADESH,India,515561,board,Secondary Level,2023-04-01,2028-03-31T00:00:00.000Z,INDEPENDENT,,,2008,SREE VIGNAN RURAL DEVELOPMENT AND EDUCATIONAL SOCIETY,http://www.srivignan.org/,https://saras.cbse.gov.in/saras/AffiliatedList/AfflicationDetails/130732,2026-08-25
130733,56657,JAIN ENGLISH MEDIUM SCHOOL,"BERIPALLI COLONY, SRI SATYA SAI DISTRICT",SRI SATHYA SAI,ANDHRA PRADESH,India,515591,board,Senior Secondary Level,2025-04-01,2030-03-31T00:00:00.000Z,INDEPENDENT,,,2011,ARKA EDUCATIONAL AND CULTURAL TRUST,http://www.jemskadiri.com/,https://saras.cbse.gov.in/saras/AffiliatedList/AfflicationDetails/130733,2026-08-25
130734,56662,VASISHTA ENGLISH MEDIUM HIGH SCHOOL,"VIDYA NAGAR, NIMMANAPALLI ROAD, RACHAVETIVARIPALLI POST",CHITTOOR,ANDHRA PRADESH,India,517326,board,Secondary Level,2023-04-01,2028-03-31T00:00:00.000Z,INDEPENDENT,,,2004,VASISHTA EDUCATIONAL TRUST,http://vasishtaschools.com/state.html,https://saras.cbse.gov.in/saras/AffiliatedList/AfflicationDetails/130734,2026-08-25
130735,56671,BIRLA OPEN MINDS SCHOOL,"ORVAKAL(MANDAL), KURNOOL",KURNOOL,ANDHRA PRADESH,India,518002,board,Senior Secondary Level,2026-04-01,2031-03-31T00:00:00.000Z,INDEPENDENT,,,2019,HAVEESH EDUCATIONAL SOCIETY,http://openminds-kurnool.com/,https://saras.cbse.gov.in/saras/AffiliatedList/AfflicationDetails/130735,2026-08-25
130736,56673,PODAR INTERNATIONAL SCHOOL,"OPPOSITE RPR CONVENTION CENTRE, TIRUCHANOOR-KLM HOSPITAL ROAD, THANDALAM",TIRUPATI,ANDHRA PRADESH,India,517520,board,Secondary Level,2023-04-01,2028-03-31T00:00:00.000Z,INDEPENDENT,,,2019,PODAR EDUCATION TRUST,https://www.podareducation.org/school/tirupati,https://saras.cbse.gov.in/saras/AffiliatedList/AfflicationDetails/130736,2026-08-25
130737,56674,AD EM SCHOOL,"ANAKAPALLI, ANKAPALLI MANDAL",VISAKHAPATNAM,ANDHRA PRADESH,India,531001,board,Secondary Level,2023-04-01,2028-03-31T00:00:00.000Z,INDEPENDENT,,,2020,KONATHALA SUBRAMANYAM APPALANARASAMMA TRUST,https://adschool.co.in/,https://saras.cbse.gov.in/saras/AffiliatedList/AfflicationDetails/130737,2026-08-25
130738,56675,PRAGATI HIGH SCHOOL,"SATTENAPALLI, GUNTUR",GUNTUR,ANDHRA PRADESH,India,522403,board,Secondary Level,2023-04-01,2028-03-31T00:00:00.000Z,INDEPENDENT,,,2002,PRAGATI EDUCATIONAL SOCIETY,http://www.pragatisap.com/,https://saras.cbse.gov.in/saras/AffiliatedList/AfflicationDetails/130738,2026-08-25
130739,56676,INTERNATIONAL DELHI PUBLIC SCHOOL,"PONNAPLLI , CHERUKUPALLI",GUNTUR,ANDHRA PRADESH,India,522259,board,Senior Secondary Level,2023-04-01,2028-03-31T00:00:00.000Z,INDEPENDENT,,,2022,HARSHAVARDHANA EDUCATIONAL SOCIETY,http://www.idpscherukupalli.com,https://saras.cbse.gov.in/saras/AffiliatedList/AfflicationDetails/130739,2026-08-25
130740,56678,SADHGURU SILVER OAKS SCHOOL,"MUTHUKUR ROAD, NELLORE",SRI POTTI SRIRAMULU NELLORE,ANDHRA PRADESH,India,524003,board,Secondary Level,2023-04-01,2028-03-31T00:00:00.000Z,INDEPENDENT,,,2020,SADHGURU SILVEROAKS EDUCATIONAL SOCIETY,https://sadhgurusilveroaks.com/,https://saras.cbse.gov.in/saras/AffiliatedList/AfflicationDetails/130740,2026-08-25
130741,56684,ST.MARYS ENGLISH MEDIUM SCHOOL,"NARASARAOPET , PALNADU",GUNTUR,ANDHRA PRADESH,India,522603,board,Secondary Level,2023-04-01,2028-03-31T00:00:00.000Z,INDEPENDENT,,,2000,ST.MARYS ENGLISH MEDIUM SCHOOL SOCIETY,http://stmarysemschoolravipadu.com/,https://saras.cbse.gov.in/saras/AffiliatedList/AfflicationDetails/130741,2026-08-25
