centre_number,name,address,district,state,pincode,pincode_source,programmes,school_type,registered_on,website,source_url,captured_on
IA051,Solitaire Global Schools (Katedan Branch),"Near Palladium Convention Hall,Babul Reddy Nagar,Katedan,Hyderabad,Telangana,500008",HYDERABAD,TELANGANA,500008,board,Primary / Lower Secondary,,2019-06-14,https://www.solitaireglobalschools.com/campuses/attapur-campus/,https://connectedtot.com/find-a-cambridge-school/Details/solitaire-global-schools-katedan-branch/,2026-08-25
IA053,LDR International School,"LDR International School, Opp. Maher Homes, South Bhopal",AHMADABAD,GUJARAT,,,Primary / Upper Secondary / Advanced,Day school,2019-05-21,http://www.ldrschool.org/,https://connectedtot.com/find-a-cambridge-school/Details/ldr-international-school/,2026-08-25
IA054,Trident International School,"H.NO:9-1-364/B/ 81, GANDHI NAGAR, OPP BAPUGHAT, LANGER HOUSE, HYDERABAD",HYDERABAD,TELANGANA,,,Lower Secondary / Upper Secondary,Day school,2019-06-13,http://www.tridentinternationalschool.org/,https://connectedtot.com/find-a-cambridge-school/Details/trident-international-school/,2026-08-25
IA055,Phoenix Greens School Of Learning,"Survey No.120,Kokapet Village,Gandipet Mandal,Ranga Reddy District., Hyderabad, Telangana, 500075",RANGA REDDY,TELANGANA,500075,board,Primary / Lower Secondary / Upper Secondary / Advanced,,2019-07-08,http://www.phoenixgreens.com/,https://connectedtot.com/find-a-cambridge-school/Details/phoenix-greens-school-of-learning/,2026-08-25
IA056,C P Goenka International School,"Kapurbawdi Junction - Off Ghodbunder Road - Next To Lake City Mall,Thane West,400607,Maharashtra,India",THANE,MAHARASHTRA,400607,board,Upper Secondary / Advanced,Day school,2019-05-29,https://www.cpgoenkainternationalschool.com/,https://connectedtot.com/find-a-cambridge-school/Details/c-p-goenka-international-school-2/,2026-08-25
IA058,RaK's Pallikkoodam School of Excellence,"Codissia Trade Fair Complex Rd, Peelamedu, Civil Aerodrome Post, Coimbatore, Tamil Nadu 641014",COIMBATORE,TAMIL NADU,641014,board,Early Years / Primary / Lower Secondary / Upper Secondary / Advanced,Day school,2019-06-25,https://www.rakspallikkoodam.com/,https://connectedtot.com/find-a-cambridge-school/Details/raks-pallikkoodam-school-of-excellence/,2026-08-25
IA064,Monte International School,"NH 44, Pandipadu, Kurnool, Andhra Pradesh 518001",KURNOOL,ANDHRA PRADESH,518001,board,Primary / Lower Secondary / Upper Secondary,Day school,2020-01-29,https://www.monteis.org/,https://connectedtot.com/find-a-cambridge-school/Details/monte-international-school/,2026-08-25
IA065,Laurel High Global School,"Laurel High Global School, Airport Road, Rajahmundry. 533103",EAST GODAVARI,ANDHRA PRADESH,533103,board,Primary,Day school,2020-01-07,http://www.laurelhigh.net/,https://connectedtot.com/find-a-cambridge-school/Details/laurel-high-global-school/,2026-08-25
IA066,Nagarjuna Vidyaniketan,"#104, IVRI Road, Behind CRPF, Ramagondanahalli, Yelehanka Hobli, Bengaluru North, Bengaluru - 560 064",BENGALURU URBAN,KARNATAKA,560064,board,Primary / Lower Secondary,Day school,2019-07-10,http://www.nagarjunavidyaniketan.com/,https://connectedtot.com/find-a-cambridge-school/Details/nagarjuna-vidyaniketan/,2026-08-25
IA067,"Athena Global School, Chennai","Adjacent to DLF Garden City, Thalambur link road, Chennai TN 600130",CHENGALPATTU,TAMIL NADU,600130,board,Primary / Lower Secondary / Upper Secondary,Day school,2019-10-06,http://www.athena.edu.in/,https://connectedtot.com/find-a-cambridge-school/Details/athena-global-school-chennai/,2026-08-25
IA070,Insight International School,"H.No:8-1-299/27&28,Al-Hamra Colony,Shaikpet,Hyderabad,500008,Andhra Pradesh",HYDERABAD,TELANGANA,500008,board,Early Years / Primary / Lower Secondary / Upper Secondary,Day school,2020-02-20,http://www.insight.edu.in/,https://connectedtot.com/find-a-cambridge-school/Details/insight-international-school/,2026-08-25
IA071,The Grandeur International School,"No 79 3B, Uhud Block, Sarjapur - Marathahalli Rd, Sulikunte, Bengaluru, Karnataka 562125",BENGALURU URBAN,KARNATAKA,562125,board,Early Years / Primary / Lower Secondary / Upper Secondary,Day school,2019-10-21,https://www.tgisb.com/,https://connectedtot.com/find-a-cambridge-school/Details/the-grandeur-international-school/,2026-08-25
IA074,GEAR Innovative International,"#175, GEAR Road, Off Outer Ring Road or Sarjapur Road, Doddakannelli, Bangalore, Karnataka 560035",BENGALURU URBAN,KARNATAKA,560035,board,Primary / Lower Secondary / Upper Secondary / Advanced,Day school,2019-08-22,https://www.gear.ac.in/,https://connectedtot.com/find-a-cambridge-school/Details/gear-innovative-international/,2026-08-25
IA075,Next Gen International School,"Amaravathi Road, Behind Hosanna Mandir, Gorantla, Guntur - 522034",GUNTUR,ANDHRA PRADESH,522034,board,Primary / Lower Secondary,Day school,2019-10-01,https://www.nextgenschool.in/,https://connectedtot.com/find-a-cambridge-school/Details/next-gen-international-school/,2026-08-25
IA077,"Golden Gates Earth School, Salem","Emerald Valley, Foot Hills of Yercaud, Salem – 636008. Tamilnadu, India.",SALEM,TAMIL NADU,636008,board,,Day school,2020-05-28,https://ggearthschool.edu.in/,https://connectedtot.com/find-a-cambridge-school/Details/golden-gates-earth-school-salem/,2026-08-25
IA079,The Hillside Prep,"9/105 C, Alankar Garden, Vellakinar Pirivu, GN Mills (Post), Mettupalayam Road, Coimbatore - 641029",COIMBATORE,TAMIL NADU,641029,board,Early Years / Primary / Lower Secondary,Day school,2019-07-25,https://www.thehillside.co.in/,https://connectedtot.com/find-a-cambridge-school/Details/the-hillside-prep/,2026-08-25
IA080,Prakriti School,"Sector 128, Noida 201304",GAUTAM BUDDHA NAGAR,UTTAR PRADESH,201304,board,Primary / Lower Secondary / Upper Secondary / Advanced,Day school,2020-10-01,http://prakriti.edu.in/,https://connectedtot.com/find-a-cambridge-school/Details/prakriti-school/,2026-08-25
