centre_number,name,address,district,state,pincode,pincode_source,programmes,school_type,registered_on,website,source_url,captured_on
IA417,Strawberry Fields High School,"Strawberry Fields High School, Sector 26, Chandigarh -",CHANDIGARH,CHANDIGARH,160019,same_school_other_board,Lower Secondary,Day school,2024-03-26,http://www.strawberry%20fields%20high%20school.com/,https://connectedtot.com/find-a-cambridge-school/Details/strawberry-fields-high-school/,2026-08-25
IA418,Regency Public School,"64,STATION ROAD SITAPUR-261001,UTTAR PRADESH",SITAPUR,UTTAR PRADESH,261001,board,Early Years,Day school,2024-04-01,http://www.regencypublicschool.org/,https://connectedtot.com/find-a-cambridge-school/Details/regency-public-school/,2026-08-25
IA419,RPS International School Dharuhera,"V.P.O Maheshwari,Dharuhera - Bhiwadi Expressway,Teh Dharuhera Distt-Rewari,123106,India",REWARI,HARYANA,123106,board,Early Years / Primary / Lower Secondary,,2024-03-19,http://www.rpsinternationaldharuhera.com/,https://connectedtot.com/find-a-cambridge-school/Details/rps-international-school-dharuhera/,2026-08-25
IA423,"Chatrabhuj Narsee School, Amanora Park Town","Chatrabhuj Narsee School, Amanora Park Town. Hadapsar. Pune - 411028",PUNE,MAHARASHTRA,411028,board,Early Years / Primary / Lower Secondary / Upper Secondary,Day school,,http://www.cns.ac.in/,https://connectedtot.com/find-a-cambridge-school/Details/chatrabhuj-narsee-school-amanora-park-town-2/,2026-08-25
IA424,Aachi Global School,"No 320 Kamarajar Street (Padasalai),Ayanambakkam,Thiruvallur District,Tamilnadu 600095,India",THIRUVALLUR,TAMIL NADU,600095,board,Early Years / Primary / Lower Secondary / Upper Secondary,Day school,2023-11-21,https://aachiglobalschool.com/,https://connectedtot.com/find-a-cambridge-school/Details/aachi-global-school/,2026-08-25
IA425,"Delhi World Public School, Noida Extension","Plot No.40A, Kp V(5) Greater Noida,G.B. Nagar, Noida,Noida 201307,Uttar Pradesh,India",GAUTAM BUDDHA NAGAR,UTTAR PRADESH,201307,board,Early Years / Primary,,2023-12-20,,https://connectedtot.com/find-a-cambridge-school/Details/delhi-world-public-school-noida-extension/,2026-08-25
IA427,Advaita International School,"SF No. 65/1A3A, Subash School Road, Andipalayam, Tirupur - 641687",TIRUPPUR,TAMIL NADU,641687,board,Primary / Lower Secondary,Day school,2024-12-06,http://www.advaitaschool.in/,https://connectedtot.com/find-a-cambridge-school/Details/advaita-international-school/,2026-08-25
IA428,The Shanti Niketan International School,A- 252 Shastri Nagar Jodhpur Rajasthan 342008,JODHPUR,RAJASTHAN,342008,board,Early Years / Primary,Day school,2024-01-25,http://www.theshantiniketan.org/,https://connectedtot.com/find-a-cambridge-school/Details/the-shanti-niketan-international-school/,2026-08-25
IA429,Vyasa International School,"Sy.101/2,BEL North Gate,Vidyaranyapura,Bangalore -560097",BENGALURU URBAN,KARNATAKA,560097,board,Primary,Day school,2024-04-02,http://www.vyasainternationalschool.org/,https://connectedtot.com/find-a-cambridge-school/Details/vyasa-international-school/,2026-08-25
IA436,Jesus' Sacred Heart School,"Dx-1, South City,Ludhiana,Punjab 142027,India",LUDHIANA,PUNJAB,142027,board,Primary / Lower Secondary,,2024-04-30,,https://connectedtot.com/find-a-cambridge-school/Details/jesus-sacred-heart-school/,2026-08-25
IA438,BEYOND 8 - BANGALORE,"C/O Gopalan International School,Basavanagar, Seetharampalya - Hoodi Road,Seetharampalya, Hoodi, Bengaluru 560048",BENGALURU URBAN,KARNATAKA,560048,board,Upper Secondary / Advanced,,2024-01-19,,https://connectedtot.com/find-a-cambridge-school/Details/beyond-8-bangalore/,2026-08-25
IA440,Advita International School,"9-1-328, Beside Ambedkar Stadium, Opp Bhagath Singh Statue, Bhagathnagar, Karimnagar, Telangana 505001",KARIMNAGAR,TELANGANA,505001,board,Primary / Lower Secondary,Day school,,https://advitainternationalschool.com/,https://connectedtot.com/find-a-cambridge-school/Details/advita-international-school-2/,2026-08-25
IA441,Brainiacs International School,"5Th Floor, Industry House,Ht Parekh Marg,Churchgate,Mumbai,Maharashtra 400020,India",MUMBAI,MAHARASHTRA,400020,board,Lower Secondary / Upper Secondary,,2023-11-14,,https://connectedtot.com/find-a-cambridge-school/Details/brainiacs-international-school/,2026-08-25
IA442,Edumont World School,"Nabha-Patiala Road, Near Rohti Pul,Nabha,Punjab 147201,India",PATIALA,PUNJAB,147201,board,Early Years,,2024-04-10,,https://connectedtot.com/find-a-cambridge-school/Details/edumont-world-school/,2026-08-25
IA443,TATVA School,,CHENGALPATTU,TAMIL NADU,600127,board,,,2024-09-17,,https://connectedtot.com/find-a-cambridge-school/Details/tatva-school-1/,2026-08-25
IA444,Wellington College International Pune,,PUNE,MAHARASHTRA,,,,,2024-08-13,,https://connectedtot.com/find-a-cambridge-school/Details/wellington-college-international-pune/,2026-08-25
IA445,Pollocks Intelli School,,VISAKHAPATANAM,ANDHRA PRADESH,,,,,2025-03-26,,https://connectedtot.com/find-a-cambridge-school/Details/pollocks-intelli-school/,2026-08-25
IA446,Mini Minds by The Intelli School,"# 11-8-34, Plot No. 33, Road No. 3, Daspalla Layout, Visakhapatnam 530 003",VISAKHAPATANAM,ANDHRA PRADESH,530003,board,Early Years,Day school,,http://www.intellischool.in/,https://connectedtot.com/find-a-cambridge-school/Details/mini-minds-by-the-intelli-school-2/,2026-08-25
IA447,Lodha Oakwood School,"Lodha Oakwood School Lodha Oakwood School, off Eastern Freeway, near BKC, Wadala, Mumbai, Maharashtra 400022",MUMBAI,MAHARASHTRA,400022,board,Early Years / Primary / Lower Secondary / Upper Secondary / Advanced,Day school,2024-07-22,https://lodhaoakwoodschool.com/,https://connectedtot.com/find-a-cambridge-school/Details/lodha-oakwood-school/,2026-08-25
IA448,Kalvi Intercontinental School,"1/132, Nagari Main Road, Sholavandan, Madurai - 625234, Rayapuram, Tamil Nadu, 625234",MADURAI,TAMIL NADU,625234,board,Early Years / Primary / Lower Secondary,Day school,2025-03-24,https://kalvicambridgeschool.com/,https://connectedtot.com/find-a-cambridge-school/Details/kalvi-intercontinental-school/,2026-08-25
IA452,Allenhouse Public School Vrindavan,"HS 01, Sector 6C, Vrindavan Yojna, Telibagh, Lucknow",MATHURA,UTTAR PRADESH,,,Primary / Lower Secondary,Day school,2025-02-26,https://allenhouselucknow.com/Site/Home/210000001_210000001_Home,https://connectedtot.com/find-a-cambridge-school/Details/allenhouse-public-school-vrindavan/,2026-08-25
IA453,Allenhouse Public School Khalasi Line Kanpur,"10/441 Khalasi Lines, Kanpur, Kanpur, Uttar Pradesh, 208001",KANPUR NAGAR,UTTAR PRADESH,208001,board,Primary,Day school,2025-02-27,https://www.%20allenhousekhalasiline.com/,https://connectedtot.com/find-a-cambridge-school/Details/allenhouse-public-school-khalasi-line-kanpur/,2026-08-25
IA454,Delhi Public School Kalyanpur,,KANPUR NAGAR,UTTAR PRADESH,208017,india_post_directory,,,2024-07-18,,https://connectedtot.com/find-a-cambridge-school/Details/delhi-public-school-kalyanpur/,2026-08-25
IA455,Vidhyashram Global School,,JODHPUR,RAJASTHAN,,,,,2024-06-24,,https://connectedtot.com/find-a-cambridge-school/Details/vidhyashram-global-school/,2026-08-25
IA457,Learning Spaces International,"Survey 49, Narsanda Vadtal Road, Rajnagar 387345, Kheda District, Gujarat, India",KHEDA,GUJARAT,387345,board,Early Years,Day school,2024-08-14,https://www.learningspacesinternational.school/,https://connectedtot.com/find-a-cambridge-school/Details/learning-spaces-international/,2026-08-25
IA461,Brimming High International School,,KANCHIPURAM,TAMIL NADU,,,,,2025-03-18,,https://connectedtot.com/find-a-cambridge-school/Details/brimming-high-international-school/,2026-08-25
IA462,Stayqrious Neoschool,,BENGALURU URBAN,KARNATAKA,,,,,2024-05-28,,https://connectedtot.com/find-a-cambridge-school/Details/stayqrious-neoschool/,2026-08-25
IA465,Marian Global School,,CHIKKAMAGALURU,KARNATAKA,,,,,2025-03-25,,https://connectedtot.com/find-a-cambridge-school/Details/marian-global-school/,2026-08-25
IA466,Utpal Shanghvi Global School,,MUMBAI SUBURBAN,MAHARASHTRA,400103,same_school_other_board,,,2024-12-16,,https://connectedtot.com/find-a-cambridge-school/Details/utpal-shanghvi-global-school-1/,2026-08-25
IA467,Little World Learning Centre,"Little World Learning Centre, Tilwara, Pincode - 482003",JABALPUR,MADHYA PRADESH,482003,board,Primary,Day school,2023-01-30,https://littleworldlearningcentre.in/,https://connectedtot.com/find-a-cambridge-school/Details/little-world-learning-centre-2/,2026-08-25
IA470,Saviors Global School,,RAIGAD,MAHARASHTRA,,,,,2024-08-01,,https://connectedtot.com/find-a-cambridge-school/Details/saviors-global-school/,2026-08-25
IA472,RVS International Academy,,BENGALURU URBAN,KARNATAKA,,,,,2024-09-28,,https://connectedtot.com/find-a-cambridge-school/Details/rvs-international-academy/,2026-08-25
IA474,Akash International School,"Akash School Campus, Opp Kansumra Village Gate, Behind Madhav Bagh 5, Jamnagar 361006.",JAMNAGAR,GUJARAT,361006,board,Early Years / Primary / Lower Secondary,Day school,,http://vedantgroupofschools.com/,https://connectedtot.com/find-a-cambridge-school/Details/akash-international-school-3/,2026-08-25
IA475,Skill Stork International School,"#55-1-219, SVS Campus, Bheemaram, Hasanparthy(m), Hanamkonda, Warangal, Telangana State, India - 506015",HANUMAKONDA,TELANGANA,506015,board,Lower Secondary / Upper Secondary / Advanced,,2021-09-16,http://www.skillstork.org/,https://connectedtot.com/find-a-cambridge-school/Details/skill-stork-international-school/,2026-08-25
IA476,Shri Ram Global School,"Hs-03, Techzone -7,Greater Noida,Uttar Pradesh 203207,India",GAUTAM BUDDHA NAGAR,UTTAR PRADESH,203207,board,Early Years / Primary / Lower Secondary,,2023-03-14,,https://connectedtot.com/find-a-cambridge-school/Details/shri-ram-global-school/,2026-08-25
IA477,De Paul International Residential School,"BELAGOLA P.O., SRIRANGAPATNA- TALUK, MANDYA- DIST, KARNATAKA -571606",MANDYA,KARNATAKA,571606,board,Lower Secondary / Upper Secondary / Advanced,Day school,2024-04-23,http://www.dpirs.org/,https://connectedtot.com/find-a-cambridge-school/Details/de-paul-international-residential-school/,2026-08-25
IA478,Canara International School,"Canara international school,A.S.R.P road,kodialbail, Mangalore -575003",DAKSHINA KANNADA,KARNATAKA,575003,board,Primary / Lower Secondary,Day school,2024-04-29,https://canaraedu.org/,https://connectedtot.com/find-a-cambridge-school/Details/canara-international-school/,2026-08-25
IA481,Cambrian Hall,,DEHRADUN,UTTARAKHAND,248003,same_school_other_board,,,2024-09-06,,https://connectedtot.com/find-a-cambridge-school/Details/cambrian-hall/,2026-08-25
IA483,Sri Chaitanya School,"Plot No. 9 to 16, Opp Indian oil petrol pump, Miyapur X roads, Hyderabad, Telangana - 500049.",MEDCHAL MALKAJGIRI,TELANGANA,500049,board,Upper Secondary / Advanced,Day school,2025-04-02,https://www.futurepathways.in/miyapur,https://connectedtot.com/find-a-cambridge-school/Details/sri-chaitanya-school/,2026-08-25
IA485,Sri Hemkunt Senior Secondary School,,MOGA,PUNJAB,,,,,2024-11-19,,https://connectedtot.com/find-a-cambridge-school/Details/sri-hemkunt-senior-secondary-school/,2026-08-25
IA487,Scholars Ark International School,"Scholars Ark International School KVR Nagar, Mangalam Road, Tiruppur, Tamilnadu – 641 604, Tirupur, Tamil Nadu, 641604",TIRUPPUR,TAMIL NADU,641604,board,Primary / Lower Secondary,Day school,2025-02-03,https://scholars-ark.in/,https://connectedtot.com/find-a-cambridge-school/Details/scholars-ark-international-school/,2026-08-25
IA488,Excellencia Infinitum School,,RANGA REDDY,TELANGANA,,,,,2025-02-17,,https://connectedtot.com/find-a-cambridge-school/Details/excellencia-infinitum-school/,2026-08-25
IA490,Roots School Kota,"23, NAMRATA AWAS, BAJRANG NAGAR KOTA, Kota, Rajasthan, 324001",KOTA,RAJASTHAN,324001,board,Early Years,Day school,,http://www.rootsschools.com/,https://connectedtot.com/find-a-cambridge-school/Details/roots-school-kota-2/,2026-08-25
IA492,"Billabong High International School, Mulund",,MUMBAI SUBURBAN,MAHARASHTRA,,,,,2025-01-09,,https://connectedtot.com/find-a-cambridge-school/Details/billabong-high-international-school-mulund/,2026-08-25
IA495,Empyrean School,,RAIGAD,MAHARASHTRA,,,,,2024-11-19,,https://connectedtot.com/find-a-cambridge-school/Details/empyrean-school/,2026-08-25
IA497,Cedar Valley International School,,KHAMMAM,TELANGANA,,,,,2025-03-11,,https://connectedtot.com/find-a-cambridge-school/Details/cedar-valley-international-school/,2026-08-25
IA498,Delhi Public School Noida,,GAUTAM BUDDHA NAGAR,UTTAR PRADESH,201301,board,,,2025-02-12,,https://connectedtot.com/find-a-cambridge-school/Details/delhi-public-school-noida/,2026-08-25
IA499,Foundation World School - Illahi Bagh,"5R79+XP8, Rangpur, Illahi Bagh, Srinagar, Jammu and Kashmir 190024",SRINAGAR,JAMMU AND KASHMIR,190024,board,Primary,Day school,2024-12-09,http://www.fwsillahibagh.org/,https://connectedtot.com/find-a-cambridge-school/Details/foundation-world-school-illahi-bagh/,2026-08-25
IA502,B.R. Birla Public School,"Beyond CHB, Katariya Choukha, Gopal Bari, Jhanwar Rd, Green Park, Jodhpur, Rajasthan 342014",JODHPUR,RAJASTHAN,342014,board,Primary / Lower Secondary,Day-cum-boarding,2024-12-18,https://www.brbirlaschool.com/,https://connectedtot.com/find-a-cambridge-school/Details/cls-b-r-birla-public-school-jodhpur-ia502/,2026-08-25
IA503,Calico Global School,"17th road, Khar (W), Mumbai 400052, Mumbai, Maharashtra, 400052",MUMBAI SUBURBAN,MAHARASHTRA,400052,board,Primary,Day school,2025-01-03,https://www.calicoglobal.net/,https://connectedtot.com/find-a-cambridge-school/Details/calico-global-school/,2026-08-25
IA507,BVM GLOBAL SCHOOL,"BVM Global School, Bollineni Hillside, Perumbakkam Main Road, Nookampalayam. Pincode: 600126",CHENGALPATTU,TAMIL NADU,600126,board,Primary / Lower Secondary,Day school,2024-10-10,https://bvminternational.org/,https://connectedtot.com/find-a-cambridge-school/Details/bvm-global-cambridge-international-school/,2026-08-25
IA508,Shantiniketan International School,"Sr no- 704, Bowrampet, Near Bachupally, Hyderabad - 500016, Hyderabad, Telangana, 500016",HYDERABAD,TELANGANA,500016,board,Lower Secondary / Upper Secondary,Day school,2025-02-17,https://www.snis.org.in/,https://connectedtot.com/find-a-cambridge-school/Details/shantiniketan-international-school-1/,2026-08-25
IA513,Green Land Convent School,"New Subhash Nagar, Basti Jodhewal Ludhiana",LUDHIANA,PUNJAB,141007,india_post_directory,Early Years / Primary / Lower Secondary,Day school,2025-03-10,https://www.greenlandsubhashnagar.com/home.aspx,https://connectedtot.com/find-a-cambridge-school/Details/green-land-convent-school/,2026-08-25
IA514,LOKHAA School,,TIRUPPUR,TAMIL NADU,,,,,,,https://connectedtot.com/find-a-cambridge-school/Details/lokhaa-school/,2026-08-25
IA516,Sharanalaya Montessori School,,CHENNAI,TAMIL NADU,,,,,2025-02-20,,https://connectedtot.com/find-a-cambridge-school/Details/sharanalaya-montessori-school/,2026-08-25
IA517,Delhi Public School,,GURUGRAM,HARYANA,122001,board,,,2025-04-10,,https://connectedtot.com/find-a-cambridge-school/Details/delhi-public-school-18/,2026-08-25
IA519,Aspire Heritage School,"KP Bagh, across Mehjoor Bridge, Srinagar 190008",SRINAGAR,JAMMU AND KASHMIR,190008,board,Primary,Day school,2025-01-08,https://www.aspireheritage.org/home,https://connectedtot.com/find-a-cambridge-school/Details/aspire-heritage-school/,2026-08-25
IA520,Delhi World Public School,,RANGA REDDY,TELANGANA,500070,board,,,2024-06-21,,https://connectedtot.com/find-a-cambridge-school/Details/delhi-world-public-school-1/,2026-08-25
IA522,Modern Vidya Niketan Aravali Hills,,FARIDABAD,HARYANA,,,,,2025-01-09,,https://connectedtot.com/find-a-cambridge-school/Details/modern-vidya-niketan-aravali-hills/,2026-08-25
IA523,"Modern Vidya Niketan, Sector 88",,FARIDABAD,HARYANA,,,,,2025-01-09,,https://connectedtot.com/find-a-cambridge-school/Details/modern-vidya-niketan-sector-88/,2026-08-25
IA524,Apollo International School,,AHMADABAD,GUJARAT,380015,board,,,2025-02-05,,https://connectedtot.com/find-a-cambridge-school/Details/apollo-international-school/,2026-08-25
IA525,Ivy World Play School Ludhiana,,LUDHIANA,PUNJAB,,,,,2025-02-18,,https://connectedtot.com/find-a-cambridge-school/Details/ivy-world-play-school-ludhiana/,2026-08-25
IA526,Campion International School,,,MAHARASHTRA,,,,,2025-03-26,,https://connectedtot.com/find-a-cambridge-school/Details/campion-international-school-1/,2026-08-25
IA527,The Little Legends Montessori,Opposite Nathu Sweets Model Town Yamuna Nagar 135001,YAMUNANAGAR,HARYANA,135001,board,Early Years,Day school,2025-03-05,https://littlelegendsmontessori.com/,https://connectedtot.com/find-a-cambridge-school/Details/the-little-legends-montessori/,2026-08-25
IA528,Ivy World Play School,,JALANDHAR,PUNJAB,144003,board,,,2025-02-18,,https://connectedtot.com/find-a-cambridge-school/Details/ivy-world-play-school-1/,2026-08-25
IA529,Thomas Baptista International School,"Mahatma Gandhi Rd, Opposite Our Lady of Grace Cathedral, Papdy, Vasai (W) 401207",PALGHAR,MAHARASHTRA,401207,board,Early Years / Primary,Day school,2025-03-11,https://www.thomasbaptistainternationalschool.in/home,https://connectedtot.com/find-a-cambridge-school/Details/thomas-baptista-international-school/,2026-08-25
IA530,IBW Home Schooling,,THRISSUR,KERALA,680001,board,,,2025-04-01,,https://connectedtot.com/find-a-cambridge-school/Details/ibw-home-schooling/,2026-08-25
IA532,Delhi Public School Abohar,"National Highway-15, Sri Ganganagar Road, Abohar 152116",FAZILKA,PUNJAB,152116,board,Early Years / Primary / Lower Secondary,Day school,2025-02-17,http://www.dps.edu.in/,https://connectedtot.com/find-a-cambridge-school/Details/delhi-public-school-abohar/,2026-08-25
IA533,Kothari International School,"Survey No 54, Fountain road, Down Town, Kharadi , Pune -411014",PUNE,MAHARASHTRA,411014,board,Primary,Day school,2025-06-18,https://www.kispune.com/cambridge/,https://connectedtot.com/find-a-cambridge-school/Details/kothari-international-school-1/,2026-08-25
IA534,Coorg Signature Academy,,KODAGU,KARNATAKA,,,,,,,https://connectedtot.com/find-a-cambridge-school/Details/coorg-signature-academy/,2026-08-25
IA535,"SNBP World School, Handewadi",,PUNE,MAHARASHTRA,,,,,2025-03-27,,https://connectedtot.com/find-a-cambridge-school/Details/snbp-world-school-handewadi/,2026-08-25
IA537,Tenbroeck Academy,"Tenbroeck academy, BP Wadia Rd, Basavanagudi, Bengaluru, Karnataka 560004",BENGALURU URBAN,KARNATAKA,560004,board,Lower Secondary,Day school,2025-05-23,https://www.tenbroeckacademy.com/,https://connectedtot.com/find-a-cambridge-school/Details/tenbroeck-academy/,2026-08-25
IA543,Birla Open Minds School,,KARIMNAGAR,TELANGANA,505001,same_school_other_board,,,,,https://connectedtot.com/find-a-cambridge-school/Details/birla-open-minds-school/,2026-08-25
IA545,The Indian Heights School,,SOUTH WEST,DELHI,,,,,,,https://connectedtot.com/find-a-cambridge-school/Details/the-indian-heights-school/,2026-08-25
IA546,Aravali International School,,FARIDABAD,HARYANA,,,,,,,https://connectedtot.com/find-a-cambridge-school/Details/aravali-international-school-1/,2026-08-25
IA549,"Slate - The School, Tirupati",,CHITTOOR,ANDHRA PRADESH,,,,,,,https://connectedtot.com/find-a-cambridge-school/Details/slate-the-school-tirupati/,2026-08-25
IA551,"Slate The School, Bowrampet",,MEDCHAL MALKAJGIRI,TELANGANA,500043,india_post_directory,,,,,https://connectedtot.com/find-a-cambridge-school/Details/slate-the-school-bowrampet/,2026-08-25
IA552,"Slate The School, Gannavaram",,KRISHNA,ANDHRA PRADESH,521101,india_post_directory,,,,,https://connectedtot.com/find-a-cambridge-school/Details/slate-the-school-gannavaram/,2026-08-25
IA554,The Sanskriti School Lucknow,THE SANSKRITI SCHOOL LUCKNOW C G CITY CHAK GANJARIA NEAR BHARAT RATNA SHRI ATAL BIHARI VAJPAYEE EKANA CRICKET STADIUM LUCKNOW 226002,LUCKNOW,UTTAR PRADESH,226002,board,Lower Secondary / Upper Secondary / Advanced,Day school,2025-05-23,https://www.thesanskriti.edu.in/,https://connectedtot.com/find-a-cambridge-school/Details/the-sanskriti-school-lucknow/,2026-08-25
IA555,Geetanjali International School,"3PGQ+3M, Bengaluru, Karnataka 562129, Bengaluru, Karnataka 560049",BENGALURU RURAL,KARNATAKA,562129,board,Early Years / Primary,Day school,2025-05-29,https://www.geetanjaliinternationalschool.com/,https://connectedtot.com/find-a-cambridge-school/Details/geetanjali-international-school/,2026-08-25
IA557,The Learning Centre,,DAKSHINA KANNADA,KARNATAKA,575003,board,,,,,https://connectedtot.com/find-a-cambridge-school/Details/the-learning-centre-1/,2026-08-25
IA558,Bunts Sangha's Arathi Shetty International School,,MUMBAI SUBURBAN,MAHARASHTRA,,,,,,,https://connectedtot.com/find-a-cambridge-school/Details/bunts-sanghas-arathi-shetty-international-school/,2026-08-25
IA560,Sacred Heart International School,"S V ROAD, SANTACRUZ WEST, MUMBAI 400054",MUMBAI SUBURBAN,MAHARASHTRA,400054,board,Primary / Lower Secondary,Day school,2025-03-11,http://www.sacredheartintl.org/,https://connectedtot.com/find-a-cambridge-school/Details/sacred-heart-international-school/,2026-08-25
IA561,Bihani Children's Academy,"Sri Ganganagar, Sri Ganganagar, Rajasthan, 335001",GANGANAGAR,RAJASTHAN,335001,board,Lower Secondary / Upper Secondary / Advanced,Day school,2025-07-22,https://www.bihanichildrensacademy.com/,https://connectedtot.com/find-a-cambridge-school/Details/bihani-childrens-academy/,2026-08-25
IA563,GM SANGANI Junior School,"Near Madhapar D-Mart, Opp. Madhapar Post Office.Jamnagar Road. Madhapar, Rajkot, Rajkot, Gujarat, 360006",RAJKOT,GUJARAT,360006,board,Early Years,,2025-12-11,https://gmsangani.in/,https://connectedtot.com/find-a-cambridge-school/Details/gm-sangani-junior-school/,2026-08-25
IA565,Billabong High International School Erode,,ERODE,TAMIL NADU,,,,,,,https://connectedtot.com/find-a-cambridge-school/Details/billabong-high-international-school-erode/,2026-08-25
IA567,Githanjali The Global School,"1-110/A/72, Raghavendra Nagar, Raghavendra Colony, Kondapur, Telangana 500084",HYDERABAD,TELANGANA,500084,board,Early Years / Primary / Lower Secondary,Day school,2025-05-29,https://www.githanjalitheglobalschool.com/,https://connectedtot.com/find-a-cambridge-school/Details/githanjali-the-global-school/,2026-08-25
IA569,Delhi Public International School,,DHAR,MADHYA PRADESH,454552,board,,,,,https://connectedtot.com/find-a-cambridge-school/Details/delhi-public-international-school/,2026-08-25
IA573,Reindeer International School,"SNo. 44/1A2,2A21B1, Kiliyur Village, Near Yercaud Lake, Yercaud, Salem District, Tamil Nadu, India. Pin: 636602., Salem, Tamil Nadu, 636602",SALEM,TAMIL NADU,636602,board,Primary / Lower Secondary,"Fully residential,Weekly boarding",2025-11-20,https://reindeerschools.com/,https://connectedtot.com/find-a-cambridge-school/Details/reindeer-international-school/,2026-08-25
IA577,SLIS Curious Cubs,"Office no 17th , Podium 2, Rosa Manhattan Kavesar, Hiranandani Estate, Thane West, Maharashtra 400607, India, Mumbai, Maharashtra, 400607",THANE,MAHARASHTRA,400607,board,Early Years,Day school,2026-02-23,http://www.curiouscubs.net.in/,https://connectedtot.com/find-a-cambridge-school/Details/slis-curious-cubs/,2026-08-25
IA578,Dhruv Global School,"Abnave Nagar, Kondhwa-Undri-Saswad Rd, Handewadi, Pune, Maharashtra 411060, Pune, Maharashtra, 411060",PUNE,MAHARASHTRA,411060,board,Primary,Day school,2025-07-04,https://www.dhruv.edu.in/,https://connectedtot.com/find-a-cambridge-school/Details/dhruv-global-school/,2026-08-25
IA580,Redwood High International School,,MUMBAI SUBURBAN,MAHARASHTRA,,,,,,,https://connectedtot.com/find-a-cambridge-school/Details/redwood-high-international-school/,2026-08-25
IA586,Ananta Veda International School,"Kangayam Rd, KNS Subramaniam Nagar, Amarjothi Garden, Tiruppur, Tamil Nadu 641604, Tirupur, Tamil Nadu, 641604",TIRUPPUR,TAMIL NADU,641604,board,Lower Secondary / Upper Secondary,Day school,2025-07-04,https://www.anantaveda.in/,https://connectedtot.com/find-a-cambridge-school/Details/ananta-veda-international-school/,2026-08-25
IA593,GIG International School,"NO.93/2, CHOKKASANDRA, HUSKUR MAIN ROAD, SARJAPURA HOBLI, ANEKAL TALUK, Bengaluru, Karnataka, 560099",BENGALURU URBAN,KARNATAKA,560099,board,Primary,Day school,2025-06-23,https://mygigis.org/cambridge/gallery/,https://connectedtot.com/find-a-cambridge-school/Details/gig-international-school/,2026-08-25
IA594,Wisfield International School,"National Highway 45, Pazhaveli, Chengalpattu, Tamil Nadu - 603111, Chengalpattu, Tamil Nadu, 603111",CHENGALPATTU,TAMIL NADU,603111,board,Early Years / Primary,Day school,2025-07-24,https://wisfieldschool.com/,https://connectedtot.com/find-a-cambridge-school/Details/wisfield-international-school/,2026-08-25
IA601,Bramhapriya World School,,PUNE,MAHARASHTRA,,,,,,,https://connectedtot.com/find-a-cambridge-school/Details/bramhapriya-world-school/,2026-08-25
IA602,Stanes Anglo Indian Higher Secondary School,,COIMBATORE,TAMIL NADU,,,,,2024-08-14,,https://connectedtot.com/find-a-cambridge-school/Details/stanes-anglo-indian-higher-secondary-school/,2026-08-25
IA606,Naavi Early Years,"99, Inner Circle, Dodsworth Layout, Bangalore, Bengaluru, Karnataka, 560066",BENGALURU URBAN,KARNATAKA,560066,board,Early Years,Day school,2025-07-03,https://www.naaviearlyyears.edu.in/,https://connectedtot.com/find-a-cambridge-school/Details/naavi-early-years/,2026-08-25
IA611,Roots School,"31, SYDNEY STREET, RAWATHBHATA MAIN ROAD, SHREENATHPURAM -E, KOTA, Kota, Rajasthan, 324010",KOTA,RAJASTHAN,324010,board,Primary,Day school,2025-07-31,https://www.rootsschools.com/,https://connectedtot.com/find-a-cambridge-school/Details/roots-school/,2026-08-25
IA615,NEXT School,"Next School,Off Devidayal Road ,Mulund West, Mumbai, Maharashtra, 400080",MUMBAI SUBURBAN,MAHARASHTRA,400080,board,Upper Secondary,Day school,2025-10-30,https://www.nextschool.org/,https://connectedtot.com/find-a-cambridge-school/Details/next-school/,2026-08-25
IA616,Tapas Progressive School,"213, Cavalry Chapel Road, Bengaluru, Karnataka, 560082",BENGALURU URBAN,KARNATAKA,560082,board,Primary / Lower Secondary,Day school,2025-11-26,https://tapaseducation.com/,https://connectedtot.com/find-a-cambridge-school/Details/tapas-progressive-school/,2026-08-25
IA620,Geethanjali High School,"1-2-147/7,Old Kothagudem Rd, Suthar Basthi ,Goutham nagar, SCB Nagar, Kothagudem, Telangana 507118, Telangana, Andhra Pradesh, 507118",BHADRADRI KOTHAGUDEM,TELANGANA,507118,board,Early Years / Primary / Lower Secondary,Day school,2026-04-09,https://ghscambridge.com/,https://connectedtot.com/find-a-cambridge-school/Details/geethanjali-high-school/,2026-08-25
IA621,Edify World School Bileshivale,"Edify World School, Survey No. 146, Avalahalli Road, Kalkere Village, Bangalore 562149, Bangalore, Karnataka, 562149",BENGALURU URBAN,KARNATAKA,562149,board,Lower Secondary,Day school,2026-01-16,https://edifyworldschoolbileshivale.com/,https://connectedtot.com/find-a-cambridge-school/Details/edify-world-school-bileshivale/,2026-08-25
IA640,Glendale International School,"3-109 Gopannapally,Nallagandla,Osman Nagar,Hyderabad,Telangana 500075,India",RANGA REDDY,TELANGANA,500075,board,Primary / Lower Secondary / Upper Secondary,,2022-03-01,,https://connectedtot.com/find-a-cambridge-school/Details/glendale-international-school/,2026-08-25
IA642,Gyananda School For Girls,"Gyananda School For Girls, 49 Subhash Road, Near Race Course, Dehradun-248001",DEHRADUN,UTTARAKHAND,248001,board,Primary / Lower Secondary,Day school,2020-07-29,http://www.gyanandadoon.org/,https://connectedtot.com/find-a-cambridge-school/Details/gyananda-school-for-girls/,2026-08-25
