cisce_code,name,address,locality,district,state,pincode,pincode_source,courses,classification,gender,on_current_register,latitude,longitude,website,source_url,captured_on
AN001,Don Bosco School,"PORT BLAIR, South Andaman, Andaman and Nicobar Islands, 744103, India",PORT BLAIR,South Andaman,Andaman and Nicobar Islands,744103,board,ICSE / ISC,Day,Co-ed.,true,11.6324598,92.6692593,https://www.dbsandaman.org,https://locate.cisce.org/,2026-08-25
AP001,Paramjyoti Public School,"Amalapuram, East Godavari, Andhra Pradesh, 533 201, India",Amalapuram,East Godavari,Andhra Pradesh,533201,board,ICSE,Day/Residential,Co-ed.,true,16.5843647,82.0216942,https://www.paramjyotischools.in,https://locate.cisce.org/,2026-08-25
AP002,Vijayavani Residential School,"Chowdepalle, Chittoor, Andhra Pradesh, 517 257, India",Chowdepalle,Chittoor,Andhra Pradesh,517257,board,ICSE,Day/Residential,Co-ed.,true,13.4336161,78.6902755,,https://locate.cisce.org/,2026-08-25
AP003,Loyola Public School,"Loyola Nagar, Guntur, Andhra Pradesh, 522 005, India",Loyola Nagar,Guntur,Andhra Pradesh,522005,board,ICSE / ISC,Day/Residential,Co-ed.,true,16.3071859,80.372346,https://loyolapublicschool.org,https://locate.cisce.org/,2026-08-25
AP004,Little Flower English Medium School,"Vidya Nagar, Guntur, Andhra Pradesh, 522 007, India",Vidya Nagar,Guntur,Andhra Pradesh,522007,board,ICSE,Day,Co-ed.,true,16.32265,80.4245463,,https://locate.cisce.org/,2026-08-25
AP005,The Hyderabad Public School,"Begumpet, Hyderabad, Telangana, 500 016, India",Begumpet,Hyderabad,Telangana,500016,board,ICSE / ISC,Day/Residential,Co-ed.,true,17.4442397,78.4707916,,https://locate.cisce.org/,2026-08-25
AP006,St. George's Grammar School,"Abid Road, Hyderabad, Telangana, 500 001, India",Abid Road,Hyderabad,Telangana,500001,board,ICSE / ISC,Day,Boys,true,17.400786,78.4755618,,https://locate.cisce.org/,2026-08-25
AP007,St. George's Girls' Grammar School,"King Kothi Road, Hyderabad, Telangana, 500 001, India",King Kothi Road,Hyderabad,Telangana,500001,board,ICSE / ISC,Day,Girls,true,17.3970059,78.4795391,,https://locate.cisce.org/,2026-08-25
AP008,Vidyaranya High School For Boys & Girls,"Saifabad, Hyderabad, Telangana, 500 063, India",Saifabad,Hyderabad,Telangana,500063,board,ICSE,Day,Co-ed.,true,17.4046414,78.466314,,https://locate.cisce.org/,2026-08-25
AP009,Nalanda Public School,"Mehdipatnam, Hyderabad, Telangana, 500 028, India",Mehdipatnam,Hyderabad,Telangana,500028,board,ICSE,Day,Co-ed.,true,17.3948227,78.4290079,,https://locate.cisce.org/,2026-08-25
AP010,Nasr School,"Khairatabad, Hyderabad, Telangana, 500 004, India",Khairatabad,Hyderabad,Telangana,500004,board,ICSE / ISC,Day,Girls,true,17.4105858,78.4652316,https://www.nasrschool.in,https://locate.cisce.org/,2026-08-25
AP015,St. Joseph's Public School,"King Kothi Road, Hyderabad, Telangana, 500 029, India",King Kothi Road,Hyderabad,Telangana,500029,board,ICSE / ISC,Day,Co-ed.,true,17.3935932,78.4814887,,https://locate.cisce.org/,2026-08-25
AP016,Sri Sai Public School,"HYDERABAD, Hyderabad, Telangana, 500 007, India",HYDERABAD,Hyderabad,Telangana,500007,board,ICSE,Day,Co-ed.,true,17.4066234,78.5437741,,https://locate.cisce.org/,2026-08-25
AP017,Seventh Day Adventist High School,"Chapel Road, Hyderabad, Telangana, 500 001, India",Chapel Road,Hyderabad,Telangana,500001,board,ICSE,Day,Co-ed.,true,18.1124372,79.0192997,,https://locate.cisce.org/,2026-08-25
AP018,Johnson Grammar School,"Hyderabad, Ranga Reddy, Telangana, 500 076, India",Hyderabad,Ranga Reddy,Telangana,500076,board,ICSE / ISC,Day,Co-ed.,true,17.4386206,78.554846,https://www.jgsicse.org,https://locate.cisce.org/,2026-08-25
AP021,St. Martin's High School,"Bowenpally, Hyderabad, Telangana, 500 011, India",Bowenpally,Hyderabad,Telangana,500011,board,ICSE,Day,Co-ed.,true,17.465909,78.4600974,,https://locate.cisce.org/,2026-08-25
AP022,Gitanjali School,"Begumpet, Hyderabad, Telangana, 500 016, India",Begumpet,Hyderabad,Telangana,500016,board,ICSE / ISC,Day,Co-ed.,true,17.4442397,78.4707916,https://www.gitanjalischools.com,https://locate.cisce.org/,2026-08-25
AP023,Niraj Public School,"Ameerpet, Hyderabad, Telangana, 500 016, India",Ameerpet,Hyderabad,Telangana,500016,board,ICSE / ISC,Day,Co-ed.,true,17.4349147,78.4527904,https://www.nirajpublicschool.com,https://locate.cisce.org/,2026-08-25
AP024,St. Joseph's Convent School,"Kakinada, East Godavari, Andhra Pradesh, 533 002, India",Kakinada,East Godavari,Andhra Pradesh,533002,board,ICSE,Day,Girls,true,16.9404444,82.2388889,,https://locate.cisce.org/,2026-08-25
AP026,St. Francis E. M. B. High School,"Machilipatnam, Krishna, Andhra Pradesh, 521 002, India",Machilipatnam,Krishna,Andhra Pradesh,521002,board,ICSE / ISC,Day,Co-ed.,true,16.1887465,81.1446504,,https://locate.cisce.org/,2026-08-25
AP028,Vasishta School,"Madanapalle, Chittoor, Andhra Pradesh, 517 325, India",Madanapalle,Chittoor,Andhra Pradesh,517325,board,ICSE / ISC,Day/Residential,Co-ed.,true,13.5560496,78.5010007,https://www.vasishtaschools.com,https://locate.cisce.org/,2026-08-25
AP029,Flaiz Memorial Higher Secondary School Of S. D. A.,"Narsapur, West Godavari, Andhra Pradesh, 534 271, India",Narsapur,West Godavari,Andhra Pradesh,534271,board,ICSE / ISC,Day/Residential,Co-ed.,true,16.4269688,81.6760985,https://www.flaiz.org,https://locate.cisce.org/,2026-08-25
AP030,Simhapuri Public School,"NELLORE, Nellore, Andhra Pradesh, 524 004, India",NELLORE,Nellore,Andhra Pradesh,524004,board,ICSE / ISC,Day/Residential,Co-ed.,true,14.4425987,79.986456,,https://locate.cisce.org/,2026-08-25
AP032,Ongole Public School,"Ongole, Prakasam, Andhra Pradesh, 523 002, India",Ongole,Prakasam,Andhra Pradesh,523002,board,ICSE,Day/Residential,Co-ed.,true,15.5052128,80.0182007,https://www.ongolepublicschool.com,https://locate.cisce.org/,2026-08-25
AP033,S. D. A. Higher Secondary School,"Nuzvid, Krishna, Andhra Pradesh, 521 201, India",Nuzvid,Krishna,Andhra Pradesh,521201,board,ICSE / ISC,Day/Residential,Co-ed.,true,16.7912299,80.8532954,,https://locate.cisce.org/,2026-08-25
AP034,St. Ann's Convent School,"SRIKAKULAM, Srikakulam, Andhra Pradesh, 532 213, India",SRIKAKULAM,Srikakulam,Andhra Pradesh,532213,board,ICSE,Day/Residential,Co-ed.,true,18.7476489,84.0890177,https://stannspathapatnam.in,https://locate.cisce.org/,2026-08-25
AP035,St. Ann's School,"Ponnur, Guntur, Andhra Pradesh, 522 123, India",Ponnur,Guntur,Andhra Pradesh,522123,board,ICSE,Day,Co-ed.,true,16.0612839,80.5645254,https://stannsponnur.com,https://locate.cisce.org/,2026-08-25
AP036,St. Ann's School,"Rajahmundry, East Godavari, Andhra Pradesh, 533 101, India",Rajahmundry,East Godavari,Andhra Pradesh,533101,board,ICSE,Day,Co-ed.,true,16.9745143,81.7887722,https://stannsschoolrajamundry.com,https://locate.cisce.org/,2026-08-25
AP038,Rishi Valley School,"Madanapalle, Chittoor, Andhra Pradesh, 517 352, India",Madanapalle,Chittoor,Andhra Pradesh,517352,board,ICSE / ISC,Residential,Co-ed.,true,13.5560496,78.5010007,https://www.cisce.org,https://locate.cisce.org/,2026-08-25
AP039,St. Ann's High School,"Secunderabad, Hyderabad, Telangana, 500 003, India",Secunderabad,Hyderabad,Telangana,500003,board,ICSE / ISC,Day,Girls,true,17.4403299,78.4963799,https://www.stannsicse.com,https://locate.cisce.org/,2026-08-25
AP042,Sherwood Public School,"Secunderabad, Hyderabad, Telangana, 500 067, India",Secunderabad,Hyderabad,Telangana,500067,board,ICSE / ISC,Day,Co-ed.,true,17.5167023,78.4757415,https://www.sherwoodeducation.com,https://locate.cisce.org/,2026-08-25
AP043,St. John's Parish School,"VISAKHAPATNAM, Visakhapatnam, Andhra Pradesh, 530 001, India",VISAKHAPATNAM,Visakhapatnam,Andhra Pradesh,530001,board,ICSE,Day,Co-ed.,true,17.6938597,83.2935018,,https://locate.cisce.org/,2026-08-25
AP044,Timpany School,"Aseelmetta, Visakhapatnam, Andhra Pradesh, 530 003, India",Aseelmetta,Visakhapatnam,Andhra Pradesh,530003,board,ICSE / ISC,Day,Co-ed.,true,17.7262172,83.3154703,https://www.timpanyschool.in,https://locate.cisce.org/,2026-08-25
AP045,St. Aloysius Anglo - Indian High School,"VISAKHAPATNAM, Visakhapatnam, Andhra Pradesh, 530 001, India",VISAKHAPATNAM,Visakhapatnam,Andhra Pradesh,530001,board,ICSE,Day/Residential,Boys,true,17.6939508,83.2922384,,https://locate.cisce.org/,2026-08-25
AP046,St. Joseph's Girls' High School,"Waltair R.S., Visakhapatnam, Andhra Pradesh, 530 004, India",Waltair R.S.,Visakhapatnam,Andhra Pradesh,530004,board,ICSE,Day,Girls,true,17.7343219,83.3129841,,https://locate.cisce.org/,2026-08-25
AP047,St. Joseph's Sec. School,"Malkapuram, Visakhapatnam, Andhra Pradesh, 530 011, India",Malkapuram,Visakhapatnam,Andhra Pradesh,530011,board,ICSE,Day,Co-ed.,true,17.6854667,83.2432403,https://www.stjosephmkp.com,https://locate.cisce.org/,2026-08-25
AP048,Alwardas Public School,"Vizag, Visakhapatnam, Andhra Pradesh, 530 017, India",Vizag,Visakhapatnam,Andhra Pradesh,530017,board,ICSE / ISC,Day,Co-ed.,true,17.7403789,83.3422016,https://www.alwardaspublicschool.com,https://locate.cisce.org/,2026-08-25
AP049,St. Ann's Eng. Med. School,"Butchirajupalem, Visakhapatnam, Andhra Pradesh, 530 027, India",Butchirajupalem,Visakhapatnam,Andhra Pradesh,530027,board,ICSE,Day,Co-ed.,true,17.7435758,83.2313104,,https://locate.cisce.org/,2026-08-25
AP050,Kotak Salesian School,"Pedda Waltair, Visakhapatnam, Andhra Pradesh, 530 017, India",Pedda Waltair,Visakhapatnam,Andhra Pradesh,530017,board,ICSE,Day,Co-ed.,true,17.7255443,83.3334491,https://kotaksalesianschool-vizag.com,https://locate.cisce.org/,2026-08-25
AP051,Seventh Day Adventist High School,"Vijayawada, Krishna, Andhra Pradesh, 520 002, India",Vijayawada,Krishna,Andhra Pradesh,520002,board,ICSE,Day,Co-ed.,true,16.4991357,80.6443257,,https://locate.cisce.org/,2026-08-25
AP052,Spring Dales Public School,"New Gajuwaka, Visakhapatnam, Andhra Pradesh, 530 026, India",New Gajuwaka,Visakhapatnam,Andhra Pradesh,530026,board,ICSE,Day,Co-ed.,true,17.688581,83.2456751,,https://locate.cisce.org/,2026-08-25
AP053,Good Shepherd E.M. School,"Anakapalle, Visakhapatnam, Andhra Pradesh, 531 002, India",Anakapalle,Visakhapatnam,Andhra Pradesh,531002,board,ICSE,Day,Co-ed.,true,17.6896435,83.0023634,,https://locate.cisce.org/,2026-08-25
AP054,St. Ann's E. M. School,"VISAKHAPATNAM, Visakhapatnam, Andhra Pradesh, 531 024, India",VISAKHAPATNAM,Visakhapatnam,Andhra Pradesh,531024,board,ICSE,Day/Residential,Co-ed.,true,18.0802006,82.663802,https://stannsschoolpaderu.com,https://locate.cisce.org/,2026-08-25
AP055,Bhuvanagiri Public School,"Kukkaladoddi, Kadapa, Andhra Pradesh, 516 101, India",Kukkaladoddi,Kadapa,Andhra Pradesh,516101,board,ICSE / ISC,Residential,Co-ed.,true,13.9597733,79.3499861,https://www.bhuvanagiripublicschool.com,https://locate.cisce.org/,2026-08-25
AP056,St. Ann's School,"Chirala, Prakasam, Andhra Pradesh, 523 157, India",Chirala,Prakasam,Andhra Pradesh,523157,board,ICSE,Day/Residential,Co-ed.,true,15.8166616,80.35869,https://stannschirala.com,https://locate.cisce.org/,2026-08-25
AP057,St. Joseph's High School,"Convent Road, Srikakulam, Andhra Pradesh, 532 001, India",Convent Road,Srikakulam,Andhra Pradesh,532001,board,ICSE,Day,Co-ed.,true,16.5152302,80.6148701,,https://locate.cisce.org/,2026-08-25
AP058,Nava Jeevan Public School,"Dora Thota, Visakhapatnam, Andhra Pradesh, 531 163, India",Dora Thota,Visakhapatnam,Andhra Pradesh,531163,board,ICSE,Day,Co-ed.,true,17.8888698,83.4524802,https://www.navajeevanschool.in,https://locate.cisce.org/,2026-08-25
AP059,Shantiniketan English Medium School,"Kadiri, Anantapur, Andhra Pradesh, 515 541, India",Kadiri,Anantapur,Andhra Pradesh,515541,board,ICSE,Day,Co-ed.,true,14.1493126,78.1425468,,https://locate.cisce.org/,2026-08-25
AP060,Mukarram Jah School,"Hyderabad, Hyderabad, Telangana, 500 002, India",Hyderabad,Hyderabad,Telangana,500002,board,ICSE,Day,Co-ed.,true,17.3681001,78.4813867,,https://locate.cisce.org/,2026-08-25
AP062,Queen Mary's School,"Prodatur, Kadapa, Andhra Pradesh, 516 360, India",Prodatur,Kadapa,Andhra Pradesh,516360,board,ICSE,Day,Co-ed.,true,14.7547446,78.5440495,,https://locate.cisce.org/,2026-08-25
AP064,Fort Catholic Girls' School,"Fort, Visakhapatnam, Andhra Pradesh, 530 001, India",Fort,Visakhapatnam,Andhra Pradesh,530001,board,ICSE,Day,Girls,true,15.9128998,79.7399875,,https://locate.cisce.org/,2026-08-25
AP065,Samaritan School,"Secunderabad, Hyderabad, Telangana, 500 094, India",Secunderabad,Hyderabad,Telangana,500094,board,ICSE,Day,Co-ed.,true,17.4394566,78.4369839,https://samaritanschool.in/,https://locate.cisce.org/,2026-08-25
AP066,St. Joseph's High School,"Araku R.S., Visakhapatnam, Andhra Pradesh, 531 151, India",Araku R.S.,Visakhapatnam,Andhra Pradesh,531151,board,ICSE,Day/Residential,Co-ed.,true,18.3333546,82.8678652,,https://locate.cisce.org/,2026-08-25
AP067,International School,"Towli Chowki, Hyderabad, Telangana, 500 008, India",Towli Chowki,Hyderabad,Telangana,500008,board,ICSE / ISC,Day,Co-ed.,true,17.399383,78.4021546,https://www.internationalschoolshaikpet.com,https://locate.cisce.org/,2026-08-25
AP068,Redfields School,"Kavali, Nellore, Andhra Pradesh, 524 201, India",Kavali,Nellore,Andhra Pradesh,524201,board,ICSE,Day/Residential,Co-ed.,true,14.9016625,79.9906015,https://www.redfieldsschool.com,https://locate.cisce.org/,2026-08-25
AP069,The Noble School,"Road No. 9, Hyderabad, Telangana, 500 033, India",Road No. 9,Hyderabad,Telangana,500033,board,ICSE,Day/Residential,Co-ed.,true,17.4120477,78.4093052,https://www.thenobleschool.net,https://locate.cisce.org/,2026-08-25
AP071,Chaitanya Vidyalaya,"Hyderabad, Hyderabad, Telangana, 500 029, India",Hyderabad,Hyderabad,Telangana,500029,board,ICSE / ISC,Day,Co-ed.,true,17.3946731,78.4879142,,https://locate.cisce.org/,2026-08-25
AP072,Siva Sivani Public School,"VISAKHAPATNAM, Visakhapatnam, Andhra Pradesh, 530 032, India",VISAKHAPATNAM,Visakhapatnam,Andhra Pradesh,530032,board,ICSE,Day,Co-ed.,true,17.6486535,83.1343281,,https://locate.cisce.org/,2026-08-25
AP076,Vikasa Vidya Vanam School,"Poranki, Krishna, Andhra Pradesh, 521 137, India",Poranki,Krishna,Andhra Pradesh,521137,board,ICSE / ISC,Day,Co-ed.,true,16.4761687,80.7068792,https://www.vikasa.org,https://locate.cisce.org/,2026-08-25
AP077,Kalpa School,"Banjara Hills, Hyderabad, Telangana, 500 034, India",Banjara Hills,Hyderabad,Telangana,500034,board,ICSE,Day,Co-ed.,true,17.4171602,78.4452801,https://www.kalpaschool.in,https://locate.cisce.org/,2026-08-25
AP078,St. Ann's School,"Vijayawada, Krishna, Andhra Pradesh, 520 015, India",Vijayawada,Krishna,Andhra Pradesh,520015,board,ICSE,Day,Co-ed.,true,16.537776,80.6396287,,https://locate.cisce.org/,2026-08-25
AP079,Emmaus - Swiss Referral Hospital School,"L.S. Farm, Chittoor, Andhra Pradesh, 517 408, India",L.S. Farm,Chittoor,Andhra Pradesh,517408,board,ICSE,Day,Co-ed.,true,13.2008143,78.7440118,https://www.emmaus-schools.com,https://locate.cisce.org/,2026-08-25
AP080,Bethany School,"Waltair Main Road, Visakhapatnam, Andhra Pradesh, 530 002, India",Waltair Main Road,Visakhapatnam,Andhra Pradesh,530002,board,ICSE / ISC,Day,Co-ed.,true,17.7183705,83.3111848,,https://locate.cisce.org/,2026-08-25
AP081,Sri Sai Public School,"Hyderabad, Medak, Telangana, 502 300, India",Hyderabad,Medak,Telangana,502300,board,ICSE,Residential,Co-ed.,true,17.5425548,78.2267425,,https://locate.cisce.org/,2026-08-25
AP082,Abhyasa Residential Public School,"Toopran, Medak, Telangana, 502 334, India",Toopran,Medak,Telangana,502334,board,ICSE / ISC,Residential,Co-ed.,true,17.8411095,78.4771627,https://www.abhyassaschool.com,https://locate.cisce.org/,2026-08-25
AP083,St. Theresa High School,"HYDERABAD, Hyderabad, Telangana, 500 062, India",HYDERABAD,Hyderabad,Telangana,500062,board,ICSE,Day,Co-ed.,true,17.4783555,78.5642159,,https://locate.cisce.org/,2026-08-25
AP084,De Paul School,"Ukkunagaram, Visakhapatnam, Andhra Pradesh, 530 032, India",Ukkunagaram,Visakhapatnam,Andhra Pradesh,530032,board,ICSE,Day,Co-ed.,true,17.652006,83.13862,https://www.depaulsvizag.com,https://locate.cisce.org/,2026-08-25
AP086,Princess Esin Girls' High School,"Hyderabad, Hyderabad, Telangana, 500 002, India",Hyderabad,Hyderabad,Telangana,500002,board,ICSE,Day,Girls,true,17.3681001,78.4813867,,https://locate.cisce.org/,2026-08-25
AP087,Gitanjali Devshala,"Secunderabad, Hyderabad, Telangana, 500 003, India",Secunderabad,Hyderabad,Telangana,500003,board,ICSE,Day,Co-ed.,true,17.4399295,78.4982741,,https://locate.cisce.org/,2026-08-25
AP088,Nasr School Boys,"Serilingampally Mandal, Hyderabad, Telangana, 500 032, India",Serilingampally Mandal,Hyderabad,Telangana,500032,board,ICSE / ISC,Day,Boys,true,17.4349842,78.3679055,https://www.nasrschool.in,https://locate.cisce.org/,2026-08-25
AP089,Sri Aurobindo International School,"Hyderabad, Hyderabad, Telangana, 500 044, India",Hyderabad,Hyderabad,Telangana,500044,board,ICSE / ISC,Day,Co-ed.,true,17.4056219,78.5129275,https://sriaurobindointernationalschool.org,https://locate.cisce.org/,2026-08-25
AP090,St. Francis School,"Madhura Wada, Visakhapatnam, Andhra Pradesh, 530 041, India",Madhura Wada,Visakhapatnam,Andhra Pradesh,530041,board,ICSE,Day,Co-ed.,true,17.8150442,83.3552898,https://www.sfsmadhurawada.net,https://locate.cisce.org/,2026-08-25
AP091,Sree Simhapuri Day School,"Vijayalakshmi Nagar, Nellore, Andhra Pradesh, 524 004, India",Vijayalakshmi Nagar,Nellore,Andhra Pradesh,524004,board,ICSE,Day,Co-ed.,true,18.1181037,83.4172068,,https://locate.cisce.org/,2026-08-25
AP092,Al Madrasa Tus Saifiya Tul Burhaniyah,"Secunderabad, Hyderabad, Telangana, 500 015, India",Secunderabad,Hyderabad,Telangana,500015,board,ICSE,Day,Co-ed.,true,17.476578,78.498475,,https://locate.cisce.org/,2026-08-25
AP094,St. Joseph's School,"Malakpet, Hyderabad, Telangana, 500 036, India",Malakpet,Hyderabad,Telangana,500036,board,ICSE,Day,Co-ed.,true,17.3716458,78.4909767,,https://locate.cisce.org/,2026-08-25
AP095,St. Joseph's School,"Habsiguda, Hyderabad, Telangana, 500 007, India",Habsiguda,Hyderabad,Telangana,500007,board,ICSE / ISC,Day,Co-ed.,true,17.4083419,78.5401473,,https://locate.cisce.org/,2026-08-25
AP096,Mrs. Mariadas U. P. School,"VISAKHAPATNAM, Visakhapatnam, Andhra Pradesh, 530 011, India",VISAKHAPATNAM,Visakhapatnam,Andhra Pradesh,530011,board,ICSE,Day,Co-ed.,true,17.6902405,83.2393038,,https://locate.cisce.org/,2026-08-25
AP097,Ramadevi Public School,"Hayatnagar, Hyderabad, Telangana, 501 512, India",Hayatnagar,Hyderabad,Telangana,501512,board,ICSE / ISC,Day,Co-ed.,true,17.3209132,78.6392491,https://www.ramadevipublicschool.com,https://locate.cisce.org/,2026-08-25
AP098,Sujatha School,"Moinabad Mandal, Ranga Reddy, Telangana, 500 075, India",Moinabad Mandal,Ranga Reddy,Telangana,500075,board,ICSE / ISC,Day/Residential,Co-ed.,true,17.3429,78.308212,,https://locate.cisce.org/,2026-08-25
AP099,Heritage Valley The Indian School,"Shadnagar, Mahbubnagar, Telangana, 509 216, India",Shadnagar,Mahbubnagar,Telangana,509216,board,ICSE / ISC,Day,Co-ed.,true,17.0417323,78.2717623,https://www.heritagevalley.co.in,https://locate.cisce.org/,2026-08-25
AP100,The Hyderabad Public School,"Cuddapah, Kadapa, Andhra Pradesh, 516 002, India",Cuddapah,Kadapa,Andhra Pradesh,516002,board,ICSE,Day/Residential,Co-ed.,true,14.4373105,78.8593513,,https://locate.cisce.org/,2026-08-25
AP101,The Future Kid's School,"Hyderabad, Ranga Reddy, Telangana, 500 089, India",Hyderabad,Ranga Reddy,Telangana,500089,board,ICSE / ISC,Day,Co-ed.,true,17.3982116,78.3748513,https://www.fkshyderabad.com,https://locate.cisce.org/,2026-08-25
AP102,The Peepal Grove School,"CHITTOOR, Chittoor, Andhra Pradesh, 517 123, India",CHITTOOR,Chittoor,Andhra Pradesh,517123,board,ICSE / ISC,Day/Boarding,Co-ed.,true,13.5323286,78.8810785,https://www.peepalgroveschool.org,https://locate.cisce.org/,2026-08-25
AP104,Future Kids Global School,"Rajahmundry, East Godavari, Andhra Pradesh, 533107, India",Rajahmundry,East Godavari,Andhra Pradesh,533107,board,ICSE / ISC,Day,Co-ed.,true,17.0084271,81.8216348,https://thefuturekids.org,https://locate.cisce.org/,2026-08-25
AP105,Indian Blossoms International School,"Ongole, Prakasam, Andhra Pradesh, 523 286, India",Ongole,Prakasam,Andhra Pradesh,523286,board,ICSE / ISC,Day,Co-ed.,true,15.4886484,80.0837374,,https://locate.cisce.org/,2026-08-25
AP106,Sacred Heart Convent School,"Hyderabad, Ranga Reddy, Telangana, 500098, India",Hyderabad,Ranga Reddy,Telangana,500098,board,ICSE,Day,Co-ed.,true,17.3308515,78.6069669,https://AP106CISCE.ORG,https://locate.cisce.org/,2026-08-25
AP107,St. Ann's High School,"Kompally, Ranga Reddy, Telangana, 500067, India",Kompally,Ranga Reddy,Telangana,500067,board,ICSE / ISC,Day,Co-ed.,true,17.5167023,78.4757415,https://www.stannspetbasheerabad.com,https://locate.cisce.org/,2026-08-25
AP108,St. Ann's E. M. High School,"PURUSHOTHAPATNAM, East Godavari, Andhra Pradesh, 507129, India",PURUSHOTHAPATNAM,East Godavari,Andhra Pradesh,507129,board,ICSE,Day,Co-ed.,true,17.6701475,80.9110954,,https://locate.cisce.org/,2026-08-25
AP109,De Paul (e M) School,"Atchuthapuram, Visakhapatnam, Andhra Pradesh, 531 003, India",Atchuthapuram,Visakhapatnam,Andhra Pradesh,531003,board,ICSE,Day,Co-ed.,true,17.2291665,82.1237583,,https://locate.cisce.org/,2026-08-25
AP110,Sri Veda English Medium High School,"Madanapalle, Chittoor, Andhra Pradesh, 517325, India",Madanapalle,Chittoor,Andhra Pradesh,517325,board,ICSE,Day/Boarding,Co-ed.,true,13.597175,78.5303385,,https://locate.cisce.org/,2026-08-25
AP111,St Paul's High School,"SRIKAKULAM, Srikakulam, Andhra Pradesh, 532001, India",SRIKAKULAM,Srikakulam,Andhra Pradesh,532001,board,ICSE,Day,Co-ed.,true,18.2965332,83.8927734,,https://locate.cisce.org/,2026-08-25
AP112,Avenues The Global School,"RAJAMAHENDRAVARAM, East Godavari, Andhra Pradesh, 533103, India",RAJAMAHENDRAVARAM,East Godavari,Andhra Pradesh,533103,board,ICSE,Day,Co-ed.,true,17.0380063,81.8390867,,https://locate.cisce.org/,2026-08-25
AP113,St. Ann's E. M. High School,"Tiruvuru, Krishna, Andhra Pradesh, 521235, India",Tiruvuru,Krishna,Andhra Pradesh,521235,board,ICSE,Day,Co-ed.,true,17.0001949,80.431516,,https://locate.cisce.org/,2026-08-25
AP114,Fjarli Academy Of Seventh Day Adventist E M High School,"DARSI, Prakasam, Andhra Pradesh, 523247, India",DARSI,Prakasam,Andhra Pradesh,523247,board,ICSE,Day/Residential,Co-ed.,true,15.7076272,79.6600343,,https://locate.cisce.org/,2026-08-25
AP115,HOLY CROSS ENGLISH MEDIUM HIGH SCHOOL,"BAPATLA, Guntur, Andhra Pradesh, 522101, India",BAPATLA,Guntur,Andhra Pradesh,522101,board,ICSE,Day,Co-ed.,true,15.9026457,80.4811009,,https://locate.cisce.org/,2026-08-25
AP116,STEM SCHOOL,"Guntur, Guntur, Andhra Pradesh, 522007, India",Guntur,Guntur,Andhra Pradesh,522007,board,ICSE,Day,Co-ed.,true,16.3025424,80.4399986,https://www.stemschool.in,https://locate.cisce.org/,2026-08-25
AP117,St. Anns E M High School,"Bhimavaram, West Godavari, Andhra Pradesh, 534 201, India",Bhimavaram,West Godavari,Andhra Pradesh,534201,board,ICSE,Day,Co-ed.,true,16.532365,81.528675,https://www.stannschool.com,https://locate.cisce.org/,2026-08-25
AP118,Gloria Vidya Kendram E. M School,"VISAKHAPATNAM, Visakhapatnam, Andhra Pradesh, 530046, India",VISAKHAPATNAM,Visakhapatnam,Andhra Pradesh,530046,board,ICSE / ISC,Day,Co-ed.,true,17.7037398,83.1612402,,https://locate.cisce.org/,2026-08-25
AP119,St. Anns E M High School,"Tadepalligudem, West Godavari, Andhra Pradesh, 534102, India",Tadepalligudem,West Godavari,Andhra Pradesh,534102,board,ICSE,Day,Co-ed.,true,16.8072523,81.5316033,,https://locate.cisce.org/,2026-08-25
AP120,Holy Family English Medium School,"SATTENAPALLI, Guntur, Andhra Pradesh, 522 403, India",SATTENAPALLI,Guntur,Andhra Pradesh,522403,board,ICSE,Day,Co-ed.,true,16.368818,80.123004,,https://locate.cisce.org/,2026-08-25
AP121,Sattva The School,"Tirupati, Chittoor, Andhra Pradesh, 517502, India",Tirupati,Chittoor,Andhra Pradesh,517502,board,ICSE,Day,Co-ed.,true,13.6118734,79.4228297,https://sattvatheschool.com/,https://locate.cisce.org/,2026-08-25
AP122,Saraswathi Vidyalai E M High School,"Tadepalligudem, West Godavari, Andhra Pradesh, 534146, India",Tadepalligudem,West Godavari,Andhra Pradesh,534146,board,ICSE / ISC,Day,Co-ed.,true,16.8134981,81.5785879,https://www.saraswathividyalai.org,https://locate.cisce.org/,2026-08-25
AP123,St. Vincent Pallotti (E M) High School,"Pedana, Krishna, Andhra Pradesh, 521366, India",Pedana,Krishna,Andhra Pradesh,521366,board,ICSE,Day,Co-ed.,true,16.4344461,80.9931388,https://www.pallottipedana.edu.in,https://locate.cisce.org/,2026-08-25
AP124,The Cedar Schools,"Visakhapatnam, Visakhapatnam, Andhra Pradesh, 531163, India",Visakhapatnam,Visakhapatnam,Andhra Pradesh,531163,board,ICSE,Day/Residential,Co-ed.,true,17.8919132,83.4285009,https://www.thecedarschools.com,https://locate.cisce.org/,2026-08-25
AP125,Nirmala High School,"Vinukonda, Guntur, Andhra Pradesh, 522647, India",Vinukonda,Guntur,Andhra Pradesh,522647,board,ICSE,Day,Co-ed.,true,16.0498456,79.7405355,,https://locate.cisce.org/,2026-08-25
AP126,St. Ann's ( E M ) Primary & High School,"AVANIGADDA, Krishna, Andhra Pradesh, 521121, India",AVANIGADDA,Krishna,Andhra Pradesh,521121,board,ICSE,Day,Co-ed.,true,16.0261115,80.9164408,,https://locate.cisce.org/,2026-08-25
