cisce_code,name,address,locality,district,state,pincode,pincode_source,courses,classification,gender,on_current_register,latitude,longitude,website,source_url,captured_on
TN071,S. B. J. Vidya Bhavan,"KANYAKUMARI, Kanyakumari, Tamil Nadu, 629 161, India",KANYAKUMARI,Kanyakumari,Tamil Nadu,629161,board,ICSE,Day,Co-ed.,true,8.3636653,77.2985408,,https://locate.cisce.org/,2026-08-25
TN072,Disha - A Life School,"Pollachi, Coimbatore, Tamil Nadu, 642 002, India",Pollachi,Coimbatore,Tamil Nadu,642002,board,ICSE / ISC,Day,Co-ed.,true,10.7073929,77.0217204,https://www.dishaschool.com,https://locate.cisce.org/,2026-08-25
TN073,Stanes School,"COIMBATORE, Coimbatore, Tamil Nadu, 641 018, India",COIMBATORE,Coimbatore,Tamil Nadu,641018,board,ICSE / ISC,Day,Co-ed.,true,11.0227951,77.0010197,https://www.stanesschool.org,https://locate.cisce.org/,2026-08-25
TN074,Dr. Dasarathan International School,"COIMBATORE, Coimbatore, Tamil Nadu, 641 017, India",COIMBATORE,Coimbatore,Tamil Nadu,641017,board,ICSE / ISC,Day,Co-ed.,true,11.0983054,76.9386792,https://www.dasarathanschool.com,https://locate.cisce.org/,2026-08-25
TN075,National Academy School,"RAMANATHAPURAM, Ramanathapuram, Tamil Nadu, 623 503, India",RAMANATHAPURAM,Ramanathapuram,Tamil Nadu,623503,board,ICSE / ISC,Day,Co-ed.,true,9.3601401,78.8634345,,https://locate.cisce.org/,2026-08-25
TN076,Sacred Heart International School,"Marthandam, Kanyakumari, Tamil Nadu, 629 165, India",Marthandam,Kanyakumari,Tamil Nadu,629165,board,ICSE / ISC,Day,Co-ed.,true,8.3044427,77.2293786,https://www.shis.in,https://locate.cisce.org/,2026-08-25
TN077,Corpus Christi School,"Kanyakumari , Kanyakumari, Tamil Nadu, 629 003, India",Kanyakumari,Kanyakumari,Tamil Nadu,629003,board,ICSE / ISC,Day,Co-ed.,true,8.1839247,77.4118411,https://www.corpuschristischool.in,https://locate.cisce.org/,2026-08-25
TN078,Amazon International School,"Tirvannamalai, Tiruvannamalai, Tamil Nadu, 606 753, India",Tirvannamalai,Tiruvannamalai,Tamil Nadu,606753,board,ICSE / ISC,Day,Co-ed.,true,12.0591142,78.974026,https://www.amazonschools.com,https://locate.cisce.org/,2026-08-25
TN079,Primrose Schools,"Chennai, Chennai, Tamil Nadu, 60 0115, India","Chennai, Chennai",Tamil Nadu,60 0115,600115,india_post_directory,ICSE / ISC,Day,Co-ed.,true,12.909724,80.249558,,https://locate.cisce.org/,2026-08-25
TN080,Kaumaram Sushila International Residential School,"Coimbatore, Coimbatore, Tamil Nadu, 641049, India",Coimbatore,Coimbatore,Tamil Nadu,641049,board,ICSE / ISC,Day,Co-ed.,true,11.0620048,76.9831256,,https://locate.cisce.org/,2026-08-25
TN081,Carmel International School,"Hosur, Krishnagiri, Tamil Nadu, 635109, India",Hosur,Krishnagiri,Tamil Nadu,635109,board,ICSE / ISC,Day,Co-ed.,true,12.7056856,77.8280798,https://www.carmelicsehosur.com,https://locate.cisce.org/,2026-08-25
TN082,R J Mantra English School,"VIRUDHUNAGAR, Virudhunagar, Tamil Nadu, 626001, India",VIRUDHUNAGAR,Virudhunagar,Tamil Nadu,626001,board,ICSE / ISC,Day,Co-ed.,true,9.5840375,77.9843881,https://www.rjmantra.com,https://locate.cisce.org/,2026-08-25
